,Teamname,Tournament,Username
126,Atlanta Hustle,AUDL 2016,The Law
127,Atlanta Hustle,AUDL 2017,Thor
128,Atlanta Hustle,AUDL 2018,Thor
129,Atlanta Hustle,AUDL 2016,Tree
130,Atlanta Hustle,AUDL 2017,Tree
131,Atlanta Hustle,AUDL 2016,Trenton
132,Atlanta Hustle,AUDL 2017,Trenton
133,Atlanta Hustle,AUDL 2018,Trenton
134,Atlanta Hustle,AUDL 2016,Vickroy
135,Atlanta Hustle,AUDL 2017,Vickroy
136,Atlanta Hustle,AUDL 2016,Walsh
137,Atlanta Hustle,AUDL 2016,Will
138,Atlanta Hustle,AUDL 2018,Will L
139,Atlanta Hustle,AUDL 2016,Wooten
140,Atlanta Hustle,AUDL 2016,Yusuf
141,Atlanta Hustle,AUDL 2017,Yusuf
142,Atlanta Hustle,AUDL 2018,Yusuf
143,Austin Sol,AUDL 2018,A Davis
144,Austin Sol,AUDL 2018,A Walch
145,Austin Sol,AUDL 2018,ABrouwer
146,Austin Sol,AUDL 2018,B Adams
147,Austin Sol,AUDL 2018,B Gfroer
148,Austin Sol,AUDL 2018,B Gramma
149,Austin Sol,AUDL 2016,Bautis V
150,Austin Sol,AUDL 2017,Bautis V
151,Austin Sol,AUDL 2016,Bennet M
152,Austin Sol,AUDL 2017,Bennet M
153,Austin Sol,AUDL 2017,Best J
154,Austin Sol,AUDL 2017,Biersc M
155,Austin Sol,AUDL 2018,Bigley
156,Austin Sol,AUDL 2016,Bigley R
157,Austin Sol,AUDL 2017,Bigley R
158,Austin Sol,AUDL 2016,Boyea D
159,Austin Sol,AUDL 2016,Brooks C
160,Austin Sol,AUDL 2017,Brooks C
161,Austin Sol,AUDL 2018,C Brooks
162,Austin Sol,AUDL 2018,C Cunnin
163,Austin Sol,AUDL 2018,C Grimm
164,Austin Sol,AUDL 2018,C Mika
165,Austin Sol,AUDL 2018,C Vargas
166,Austin Sol,AUDL 2017,Cecil J
167,Austin Sol,AUDL 2016,Clutto J
168,Austin Sol,AUDL 2016,Cunnin C
169,Austin Sol,AUDL 2017,Cunnin C
170,Austin Sol,AUDL 2018,D Richar
171,Austin Sol,AUDL 2017,Daftar K
172,Austin Sol,AUDL 2017,Davis A
173,Austin Sol,AUDL 2017,Deneco C
174,Austin Sol,AUDL 2016,Denenc C
175,Austin Sol,AUDL 2017,Dial B
