,PlayerName,Tournament,TeamAbbrev,Teamname
0,Aaron Bacon,AUDL 2014,CIN,Cincinnati Revolution
1,Aaron Bell,AUDL 2013,NY,New York Empire
2,Aaron Buss,AUDL 2017,PIT,Pittsburgh Thunderbirds
3,Aaron Buss,AUDL 2016,PIT,Pittsburgh Thunderbirds
4,Aaron Corley,AUDL 2014,CIN,Cincinnati Revolution
5,Aaron Corley,AUDL 2013,CIN,Cincinnati Revolution
6,Aaron Corley,AUDL 2012,CIN,Cincinnati Revolution
7,Aaron Del Real,AUDL 2017,DET,Detroit Mechanix
8,Aaron Del Real,AUDL 2016,DET,Detroit Mechanix
9,Aaron Del Real,AUDL 2015,DET,Detroit Mechanix
10,Aaron Del Real,AUDL 2012,DET,Detroit Mechanix
11,Aaron Langley,AUDL 2018,DC,DC Breeze
12,Aaron Richards,AUDL 2015,SF,San Francisco FlameThrowers
13,Aaron Roberts,AUDL 2017,PHI,Philadelphia Phoenix
14,Aaron Roberts,AUDL 2016,PHI,Philadelphia Phoenix
15,Aaron Roberts,AUDL 2015,PHI,Philadelphia Phoenix
16,Aaron Roberts,AUDL 2014,DC,DC Breeze
17,Aaron Schwartz,AUDL 2018,IND,Indianapolis AlleyCats
18,Aaron Schwartz,AUDL 2017,IND,Indianapolis AlleyCats
19,Aaron Schwartz,AUDL 2016,IND,Indianapolis AlleyCats
20,Aaron Schwartz,AUDL 2015,IND,Indianapolis AlleyCats
21,Aaron Shi,AUDL 2018,SJ,San Jose Spiders
22,Aaron Watson,AUDL 2017,PIT,Pittsburgh Thunderbirds
23,Aaron Watson,AUDL 2016,PIT,Pittsburgh Thunderbirds
24,Aaron Watson,AUDL 2015,PIT,Pittsburgh Thunderbirds
25,Aaron Weaver,AUDL 2018,LA,Los Angeles Aviators
26,Aaron Weaver,AUDL 2017,LA,Los Angeles Aviators
27,Aaron Ziegler,AUDL 2012,DET,Detroit Mechanix
28,Abe Coffin,AUDL 2017,DAL,Dallas Roughnecks
29,Abe Coffin,AUDL 2016,MAD,Madison Radicals
30,Adam Bostian,AUDL 2015,CHA,Charlotte Express
31,Adam Bronstein,AUDL 2016,LA,Los Angeles Aviators
32,Adam Bronstein,AUDL 2014,SEA,Seattle Raptors
33,Adam Brown,AUDL 2015,SJ,San Jose Spiders
34,Adam Burgess,AUDL 2018,ATL,Atlanta Hustle
35,Adam Carr,AUDL 2018,TB,Tampa Bay Cannons
36,Adam Choi,AUDL 2018,SEA,Seattle Cascades
37,Adam Drews,AUDL 2018,MAD,Madison Radicals
38,Adam Drews,AUDL 2017,MAD,Madison Radicals
39,Adam Drews,AUDL 2016,MAD,Madison Radicals
40,Adam Drews,AUDL 2015,MAD,Madison Radicals
41,Adam Drews,AUDL 2014,MAD,Madison Radicals
42,Adam Goldberg,AUDL 2015,PHI,Philadelphia Phoenix
43,Adam Johnston,AUDL 2012,RIR,Rhone Island Rampage
44,Adam Lapikas,AUDL 2018,TB,Tampa Bay Cannons
45,Adam O'Donnell,AUDL 2018,OTT,Ottawa Outlaws
46,Adam Paicely,AUDL 2016,NSH,Nashville NightWatch
47,Adam Raty,AUDL 2016,SF,San Francisco FlameThrowers
48,Adam Raty,AUDL 2015,SF,San Francisco FlameThrowers
49,Adam Raty,AUDL 2014,SF,San Francisco FlameThrowers
50,Adam Russell,AUDL 2017,TB,Jacksonville Cannons
51,Adam Russell,AUDL 2016,TB,Jacksonville Cannons
52,Adam Russell,AUDL 2015,CHA,Charlotte Express
53,Adam Simon,AUDL 2017,SEA,Seattle Cascades
54,Adam Simon,AUDL 2016,SEA,Seattle Cascades
55,Adam Simon,AUDL 2015,SEA,Seattle Cascades
56,Adam Turner,AUDL 2016,CIN,Cincinnati Revolution
57,Adam Vinson,AUDL 2018,TB,Tampa Bay Cannons
58,Adlai Felser,AUDL 2014,SEA,Seattle Raptors
59,Adnan Raslan,AUDL 2018,PIT,Pittsburgh Thunderbirds
60,Adnan Raslan,AUDL 2017,DET,Detroit Mechanix
61,Adnan Raslan,AUDL 2016,DET,Detroit Mechanix
62,Adrian King,AUDL 2016,CHI,Chicago Wildfire
63,Adrian King,AUDL 2015,CHI,Chicago Wildfire
64,Adrian Reif,AUDL 2014,MAD,Madison Radicals
65,Adrian Reif,AUDL 2013,MAD,Madison Radicals
66,Adrian Yearwood,AUDL 2018,TOR,Toronto Rush
67,Adrian Yearwood,AUDL 2017,TOR,Toronto Rush
68,Adrian Yearwood,AUDL 2016,TOR,Toronto Rush
69,Adrian Yearwood,AUDL 2015,TOR,Toronto Rush
70,Adrian Yearwood,AUDL 2014,TOR,Toronto Rush
71,Adrian Yearwood,AUDL 2013,TOR,Toronto Rush
72,Aidan Hall,AUDL 2018,SD,San Diego Growlers
73,Aidan Hayter,AUDL 2018,OTT,Ottawa Outlaws
74,AJ Jacoski,AUDL 2018,TB,Tampa Bay Cannons
75,AJ Jacoski,AUDL 2016,DC,DC Breeze
76,AJ Jacoski,AUDL 2015,DC,DC Breeze
77,AJ Jacoski,AUDL 2014,DC,DC Breeze
78,AJ Lemons,AUDL 2016,SJ,San Jose Spiders
79,AJ Nelson,AUDL 2016,CHI,Chicago Wildfire
80,AJ Nelson,AUDL 2015,CHI,Chicago Wildfire
81,AJ Nelson,AUDL 2014,CHI,Chicago Wildfire
82,AJ Nelson,AUDL 2013,CHI,Chicago Wildfire
83,Alan Huels,AUDL 2017,PHI,Philadelphia Phoenix
84,Alan Huels,AUDL 2014,CIN,Cincinnati Revolution
85,Alan Huels,AUDL 2013,CIN,Cincinnati Revolution
86,Alan Kolick,AUDL 2017,DC,DC Breeze
87,Alan Kolick,AUDL 2016,DC,DC Breeze
88,Albert Alarcon,AUDL 2013,NJ,New Jersey Hammerheads
89,Aldous Root,AUDL 2018,SEA,Seattle Cascades
90,Aldous Root,AUDL 2017,SEA,Seattle Cascades
91,Alec Arsenault,AUDL 2018,OTT,Ottawa Outlaws
92,Alec Arsenault,AUDL 2017,OTT,Ottawa Outlaws
93,Alec Arsenault,AUDL 2016,OTT,Ottawa Outlaws
94,Alec Arsenault,AUDL 2015,OTT,Ottawa Outlaws
95,Alec Benton,AUDL 2016,SD,San Diego Growlers
96,Alec Benton,AUDL 2015,SD,San Diego Growlers
97,Alec Mathena,AUDL 2016,CIN,Cincinnati Revolution
98,Alec Norton,AUDL 2014,ROC,Rochester Dragons
99,Alec Surmani,AUDL 2018,SJ,San Jose Spiders
100,Alec Surmani,AUDL 2017,SJ,San Jose Spiders
101,Alec Surmani,AUDL 2015,SF,San Francisco FlameThrowers
102,Alex Baker,AUDL 2014,MIN,Minnesota Wind Chill
103,Alex Bargende,AUDL 2012,RIR,Rhone Island Rampage
104,Alex Bertoia,AUDL 2014,DET,Detroit Mechanix
105,Alex Brouwer,AUDL 2018,AUS,Austin Sol
106,Alex Bullock,AUDL 2017,TB,Jacksonville Cannons
107,Alex Bullock,AUDL 2016,TB,Jacksonville Cannons
108,Alex Champe,AUDL 2017,CHI,Chicago Wildfire
109,Alex Champe,AUDL 2016,CHI,Chicago Wildfire
110,Alex Davis,AUDL 2017,VAN,Vancouver Riptide
111,Alex Davis,AUDL 2016,VAN,Vancouver Riptide
112,Alex Davis,AUDL 2015,VAN,Vancouver Riptide
113,Alex Drlica-Wagner,AUDL 2016,CHI,Chicago Wildfire
114,Alex Drlica-Wagner,AUDL 2015,CHI,Chicago Wildfire
115,Alex Drlica-Wagner,AUDL 2014,CHI,Chicago Wildfire
116,Alex Drum,AUDL 2018,LA,Los Angeles Aviators
117,Alex Drum,AUDL 2017,LA,Los Angeles Aviators
118,Alex Duffel,AUDL 2018,SEA,Seattle Cascades
119,Alex Duffel,AUDL 2017,SEA,Seattle Cascades
120,Alex Duffel,AUDL 2016,SEA,Seattle Cascades
121,Alex E,AUDL 2014,SF,San Francisco FlameThrowers
122,Alex Edinger,AUDL 2012,DET,Detroit Mechanix
123,Alex Evangelides,AUDL 2017,SF,San Francisco FlameThrowers
124,Alex Gareis,AUDL 2013,CHI,Chicago Wildfire
125,Alex Gilson,AUDL 2016,DET,Detroit Mechanix
126,Alex Gilson,AUDL 2015,DET,Detroit Mechanix
127,Alex Grande,AUDL 2018,SF,San Francisco FlameThrowers
128,Alex Grintsvayg,AUDL 2012,PHS,Philadelphia Spinners
129,Alex Hamilton,AUDL 2017,IND,Indianapolis AlleyCats
130,Alex Henderson,AUDL 2018,IND,Indianapolis AlleyCats
131,Alex Hill,AUDL 2016,NSH,Nashville NightWatch
132,Alex Hunt,AUDL 2015,DET,Detroit Mechanix
133,Alex Hutton,AUDL 2014,IND,Indianapolis AlleyCats
134,Alex Kadesch,AUDL 2016,PHI,Philadelphia Phoenix
135,Alex Kapiamba,AUDL 2018,DET,Detroit Mechanix
136,Alex Kapiamba,AUDL 2017,DET,Detroit Mechanix
137,Alex Krzywda,AUDL 2013,IND,Indianapolis AlleyCats
138,Alex Krzywda,AUDL 2012,IND,Indianapolis AlleyCats
139,Alex Liu,AUDL 2018,DC,DC Breeze
140,Alex Lowy,AUDL 2016,PHI,Philadelphia Phoenix
141,Alex Lowy,AUDL 2015,PHI,Philadelphia Phoenix
142,Alex Nord,AUDL 2015,SF,San Francisco FlameThrowers
143,Alex Nord,AUDL 2014,SF,San Francisco FlameThrowers
144,Alex Pan,AUDL 2018,SF,San Francisco FlameThrowers
145,Alex Rummelhart,AUDL 2018,CHI,Chicago Wildfire
146,Alex Rummelhart,AUDL 2017,CHI,Chicago Wildfire
147,Alex Rummelhart,AUDL 2016,CHI,Chicago Wildfire
148,Alex Rummelhart,AUDL 2015,CHI,Chicago Wildfire
149,Alex Simmons,AUDL 2016,TOR,Toronto Rush
150,Alex Thomas,AUDL 2018,PIT,Pittsburgh Thunderbirds
151,Alex Thomas,AUDL 2017,PIT,Pittsburgh Thunderbirds
152,Alex Thomas,AUDL 2016,PIT,Pittsburgh Thunderbirds
153,Alex Thorne,AUDL 2016,PIT,Pittsburgh Thunderbirds
154,Alex Thorne,AUDL 2015,PIT,Pittsburgh Thunderbirds
155,Alex Thorne,AUDL 2014,DC,DC Breeze
156,Alex Vickroy,AUDL 2016,CHA,Charlotte Express
157,Alex Vlahos,AUDL 2016,TOR,Toronto Rush
158,Alex Vlahos,AUDL 2015,TOR,Toronto Rush
159,Alexander Daskalakis,AUDL 2013,NY,New York Empire
160,Alexander Isik,AUDL 2018,NY,New York Empire
161,Alexander Max,AUDL 2018,SF,San Francisco FlameThrowers
162,Alexander Morris,AUDL 2018,SJ,San Jose Spiders
163,Alexander Taylor,AUDL 2018,RAL,Raleigh Flyers
164,Alexander Taylor,AUDL 2017,DC,DC Breeze
165,Alexandre Fall,AUDL 2018,DC,DC Breeze
166,Alexi Zalk,AUDL 2018,NY,New York Empire
167,Alijah Crowe,AUDL 2017,PIT,Pittsburgh Thunderbirds
168,Alistair Robb,AUDL 2017,VAN,Vancouver Riptide
169,Allan Laviolette,AUDL 2018,RAL,Raleigh Flyers
170,Allan Laviolette,AUDL 2018,ATL,Atlanta Hustle
171,Allan Laviolette,AUDL 2017,ATL,Atlanta Hustle
172,Allan Laviolette,AUDL 2016,ATL,Atlanta Hustle
173,Allan Laviolette,AUDL 2015,ATL,Atlanta Hustle
174,Allan Michel,AUDL 2018,PHI,Philadelphia Phoenix
175,Allen Lai,AUDL 2018,LA,Los Angeles Aviators
176,Allen Lai,AUDL 2017,LA,Los Angeles Aviators
177,Allen Lai,AUDL 2016,LA,Los Angeles Aviators
178,Allen Lai,AUDL 2015,LA,Los Angeles Aviators
179,Alon Brown,AUDL 2013,NY,New York Empire
180,Alton Gaines,AUDL 2017,TB,Jacksonville Cannons
181,Alton Gaines,AUDL 2015,TB,Jacksonville Cannons
182,Aly Lenon,AUDL 2016,SEA,Seattle Cascades
183,Aly Lenon,AUDL 2015,SEA,Seattle Cascades
184,Aman Nalavalde,AUDL 2012,PHS,Philadelphia Spinners
185,Anatoly Vasilyev,AUDL 2018,TOR,Toronto Rush
186,Anatoly Vasilyev,AUDL 2017,VAN,Vancouver Riptide
187,Anatoly Vasilyev,AUDL 2016,VAN,Vancouver Riptide
188,Anatoly Vasilyev,AUDL 2016,TOR,Toronto Rush
189,Anatoly Vasilyev,AUDL 2015,TOR,Toronto Rush
190,Anatoly Vasilyev,AUDL 2014,TOR,Toronto Rush
191,Anders Olsen,AUDL 2018,ATL,Atlanta Hustle
192,Anders Olsen,AUDL 2017,ATL,Atlanta Hustle
193,Anders Olsen,AUDL 2016,ATL,Atlanta Hustle
194,Anders Olsen,AUDL 2015,ATL,Atlanta Hustle
195,André Arsenault,AUDL 2018,MTL,Montreal Royal
196,André Arsenault,AUDL 2017,MTL,Montreal Royal
197,André Arsenault,AUDL 2016,MTL,Montreal Royal
198,André Arsenault,AUDL 2015,MTL,Montreal Royal
199,Andre Gailits,AUDL 2016,VAN,Vancouver Riptide
200,Andre Gailits,AUDL 2015,VAN,Vancouver Riptide
201,Andrell Caldwell,AUDL 2018,ATL,Atlanta Hustle
202,Andrew Allen,AUDL 2016,DC,DC Breeze
203,Andrew Allen,AUDL 2015,DC,DC Breeze
204,Andrew Aylward,AUDL 2012,COL,Columbus Cranes
205,Andrew Berry,AUDL 2018,SF,San Francisco FlameThrowers
206,Andrew Berry,AUDL 2017,SJ,San Jose Spiders
207,Andrew Berry,AUDL 2016,SJ,San Jose Spiders
208,Andrew Bosco,AUDL 2012,CON,Connecticut Consitution
209,Andrew Brown,AUDL 2018,MAD,Madison Radicals
210,Andrew Brown,AUDL 2017,MAD,Madison Radicals
211,Andrew Brown,AUDL 2016,MAD,Madison Radicals
212,Andrew Brown,AUDL 2015,MAD,Madison Radicals
213,Andrew Brown,AUDL 2014,MAD,Madison Radicals
214,Andrew Brown,AUDL 2013,MAD,Madison Radicals
215,Andrew Carleton,AUDL 2017,TB,Jacksonville Cannons
216,Andrew Carleton,AUDL 2016,TB,Jacksonville Cannons
217,Andrew Carleton,AUDL 2015,TB,Jacksonville Cannons
218,Andrew Carroll,AUDL 2018,TOR,Toronto Rush
219,Andrew Carroll,AUDL 2017,TOR,Toronto Rush
220,Andrew Carroll,AUDL 2016,TOR,Toronto Rush
221,Andrew Carroll,AUDL 2015,TOR,Toronto Rush
222,Andrew Cohen,AUDL 2017,RAL,Raleigh Flyers
223,Andrew Cohen,AUDL 2016,CHA,Charlotte Express
224,Andrew Foley,AUDL 2013,CIN,Cincinnati Revolution
225,Andrew Gardner,AUDL 2018,PIT,Pittsburgh Thunderbirds
226,Andrew Gardner,AUDL 2017,PIT,Pittsburgh Thunderbirds
227,Andrew Gardner,AUDL 2016,PIT,Pittsburgh Thunderbirds
228,Andrew Goldstein,AUDL 2018,CHI,Chicago Wildfire
229,Andrew Gruninger,AUDL 2016,CHA,Charlotte Express
230,Andrew Gruninger,AUDL 2015,CHA,Charlotte Express
231,Andrew Hagen,AUDL 2017,SF,San Francisco FlameThrowers
232,Andrew Hagen,AUDL 2016,SF,San Francisco FlameThrowers
233,Andrew Hagen,AUDL 2014,SF,San Francisco FlameThrowers
234,Andrew Haviland,AUDL 2016,PHI,Philadelphia Phoenix
235,Andrew Kohl,AUDL 2017,LA,Los Angeles Aviators
236,Andrew Kohl,AUDL 2016,LA,Los Angeles Aviators
237,Andrew Kramer,AUDL 2016,CIN,Cincinnati Revolution
238,Andrew Kubinec,AUDL 2016,TOR,Toronto Rush
239,Andrew Kubinec,AUDL 2015,TOR,Toronto Rush
240,Andrew Kubinec,AUDL 2014,TOR,Toronto Rush
241,Andrew Kubinec,AUDL 2013,TOR,Toronto Rush
242,Andrew Lucarotti,AUDL 2017,DET,Detroit Mechanix
243,Andrew Lucarotti,AUDL 2016,DET,Detroit Mechanix
244,Andrew Lucarotti,AUDL 2015,DET,Detroit Mechanix
245,Andrew Lucarotti,AUDL 2013,DET,Detroit Mechanix
246,Andrew Lucarotti,AUDL 2012,DET,Detroit Mechanix
247,Andrew Lynch,AUDL 2017,SEA,Seattle Cascades
248,Andrew Lynch,AUDL 2014,SEA,Seattle Raptors
249,Andrew Manganelli,AUDL 2017,PHI,Philadelphia Phoenix
250,Andrew Manganelli,AUDL 2013,NJ,New Jersey Hammerheads
251,Andrew McCrae,AUDL 2015,LA,Los Angeles Aviators
252,Andrew McKelvey,AUDL 2018,RAL,Raleigh Flyers
253,Andrew McKelvey,AUDL 2017,TB,Jacksonville Cannons
254,Andrew McKelvey,AUDL 2016,TB,Jacksonville Cannons
255,Andrew McKelvey,AUDL 2015,TB,Jacksonville Cannons
256,Andrew McRae,AUDL 2018,LA,Los Angeles Aviators
257,Andrew Meshnick,AUDL 2018,MAD,Madison Radicals
258,Andrew Meshnick,AUDL 2017,MAD,Madison Radicals
259,Andrew Meshnick,AUDL 2016,MAD,Madison Radicals
260,Andrew Meshnick,AUDL 2015,MAD,Madison Radicals
261,Andrew Meshnick,AUDL 2014,MAD,Madison Radicals
262,Andrew Meshnick,AUDL 2013,MAD,Madison Radicals
263,Andrew Miller,AUDL 2012,CIN,Cincinnati Revolution
264,Andrew Misthos,AUDL 2013,NJ,New Jersey Hammerheads
265,Andrew Moore,AUDL 2018,SJ,San Jose Spiders
266,Andrew Moore,AUDL 2017,SJ,San Jose Spiders
267,Andrew Moore,AUDL 2016,SJ,San Jose Spiders
268,Andrew Ouchterlony,AUDL 2018,OTT,Ottawa Outlaws
269,Andrew Ouchterlony,AUDL 2017,OTT,Ottawa Outlaws
270,Andrew Ouchterlony,AUDL 2016,OTT,Ottawa Outlaws
271,Andrew Ouchterlony,AUDL 2015,OTT,Ottawa Outlaws
272,Andrew Padula,AUDL 2018,LA,Los Angeles Aviators
273,Andrew Padula,AUDL 2017,LA,Los Angeles Aviators
274,Andrew Padula,AUDL 2016,LA,Los Angeles Aviators
275,Andrew Pebley,AUDL 2015,LA,Los Angeles Aviators
276,Andrew Roca,AUDL 2015,TB,Jacksonville Cannons
277,Andrew Roney,AUDL 2018,TB,Tampa Bay Cannons
278,Andrew Roney,AUDL 2017,TB,Jacksonville Cannons
279,Andrew Roney,AUDL 2016,TB,Jacksonville Cannons
280,Andrew Ryan,AUDL 2016,CHA,Charlotte Express
281,Andrew Ryan,AUDL 2015,RAL,Raleigh Flyers
282,Andrew Schwartz,AUDL 2013,NY,New York Empire
283,Andrew Sheehan,AUDL 2016,CHI,Chicago Wildfire
284,Andrew Sheehan,AUDL 2015,CHI,Chicago Wildfire
285,Andrew Sheehan,AUDL 2014,CHI,Chicago Wildfire
286,Andrew Sjogren,AUDL 2018,DET,Detroit Mechanix
287,Andrew Tang,AUDL 2017,DET,Detroit Mechanix
288,Andrew Tang,AUDL 2016,DET,Detroit Mechanix
289,Andrew Walch,AUDL 2018,AUS,Austin Sol
290,Andrew Walch,AUDL 2017,AUS,Austin Sol
291,Andrew Walch,AUDL 2016,AUS,Austin Sol
292,Andrew Watts,AUDL 2016,TOR,Toronto Rush
293,Andrew Watts,AUDL 2015,TOR,Toronto Rush
294,Andrew Watts,AUDL 2014,TOR,Toronto Rush
295,Andrew Wilkes,AUDL 2015,NY,New York Empire
296,Andy Barnhart,AUDL 2017,NSH,Nashville NightWatch
297,Andy Barnhart,AUDL 2016,NSH,Nashville NightWatch
298,Andy Barnhart,AUDL 2015,NSH,Nashville NightWatch
299,Andy Barnhart,AUDL 2013,DET,Detroit Mechanix
300,Andy Barnhart,AUDL 2012,DET,Detroit Mechanix
301,Andy Cava,AUDL 2016,TB,Jacksonville Cannons
302,Andy Cava,AUDL 2015,IND,Indianapolis AlleyCats
303,Andy Cava,AUDL 2014,IND,Indianapolis AlleyCats
304,Andy Corey,AUDL 2016,OTT,Ottawa Outlaws
305,Andy Corey,AUDL 2015,OTT,Ottawa Outlaws
306,Andy Curtis,AUDL 2015,SD,San Diego Growlers
307,Andy Nielsen,AUDL 2014,CHI,Chicago Wildfire
308,Andy Sammons,AUDL 2016,SD,San Diego Growlers
309,Andy Sammons,AUDL 2015,SD,San Diego Growlers
310,Andy Smith,AUDL 2017,SJ,San Jose Spiders
311,Andy Smith,AUDL 2016,SJ,San Jose Spiders
312,Andy Theiss,AUDL 2012,COL,Columbus Cranes
313,Andy Yu,AUDL 2018,DET,Detroit Mechanix
314,Anson Reppermund,AUDL 2018,MAD,Madison Radicals
315,Anson Reppermund,AUDL 2017,PIT,Pittsburgh Thunderbirds
316,Anson Reppermund,AUDL 2016,PIT,Pittsburgh Thunderbirds
317,Anson Reppermund,AUDL 2015,PIT,Pittsburgh Thunderbirds
318,Anthony Bushek,AUDL 2015,PHI,Philadelphia Phoenix
319,Anthony Bushek,AUDL 2014,PHI,Philadelphia Phoenix
320,Anthony Cain,AUDL 2012,CIN,Cincinnati Revolution
321,Anthony Davis,AUDL 2017,DET,Detroit Mechanix
322,Anthony Davis,AUDL 2016,DET,Detroit Mechanix
323,Anthony Kahn,AUDL 2018,PIT,Pittsburgh Thunderbirds
324,Anthony McLean,AUDL 2016,DC,DC Breeze
325,Anthony McLean,AUDL 2015,DC,DC Breeze
326,Anthony Monescalchi,AUDL 2015,ROC,Rochester Dragons
327,Anthony Sapichino,AUDL 2013,NJ,New Jersey Hammerheads
328,Antoine Davis,AUDL 2018,SF,San Francisco FlameThrowers
329,Antoine Davis,AUDL 2017,SF,San Francisco FlameThrowers
330,Antoine Davis,AUDL 2015,DC,DC Breeze
331,Antoine Genest,AUDL 2018,MTL,Montreal Royal
332,Antoine Genest,AUDL 2017,MTL,Montreal Royal
333,Antoine Genest,AUDL 2016,MTL,Montreal Royal
334,Antoine Genest,AUDL 2015,MTL,Montreal Royal
335,Antoine Genest,AUDL 2014,MTL,Montreal Royal
336,Antoine Lepagnol,AUDL 2016,MTL,Montreal Royal
337,Antoine Lepagnol,AUDL 2015,MTL,Montreal Royal
338,Ari Nitikman,AUDL 2017,VAN,Vancouver Riptide
339,Ari Nitikman,AUDL 2016,VAN,Vancouver Riptide
340,Ari Weitzman,AUDL 2016,SJ,San Jose Spiders
341,Ari Weitzman,AUDL 2012,ROC,Rochester Dragons
342,Ariel Klevecz,AUDL 2015,SJ,San Jose Spiders
343,Art Shull,AUDL 2012,PHS,Philadelphia Spinners
344,Ashlin Joye,AUDL 2017,SF,San Francisco FlameThrowers
345,Ashlin Joye,AUDL 2015,SJ,San Jose Spiders
346,Ashlin Joye,AUDL 2014,SJ,San Jose Spiders
347,Ashton Lewis,AUDL 2017,DAL,Dallas Roughnecks
348,Ashton Robinson,AUDL 2013,MIN,Minnesota Wind Chill
349,Aubrey Davis,AUDL 2018,AUS,Austin Sol
350,Aubrey Davis,AUDL 2017,AUS,Austin Sol
351,Aubrey Davis,AUDL 2014,SJ,San Jose Spiders
352,Austin Ambrose,AUDL 2018,IND,Indianapolis AlleyCats
353,Austin Bartenstein,AUDL 2018,DC,DC Breeze
354,Austin Bartenstein,AUDL 2017,DC,DC Breeze
355,Austin Bonelli,AUDL 2015,PHI,Philadelphia Phoenix
356,Austin Bonelli,AUDL 2013,NJ,New Jersey Hammerheads
357,Austin Engel,AUDL 2017,DET,Detroit Mechanix
358,Austin Engel,AUDL 2016,PIT,Pittsburgh Thunderbirds
359,Austin Engel,AUDL 2012,DET,Detroit Mechanix
360,Austin Johnson,AUDL 2018,DET,Detroit Mechanix
361,Austin Koffarnus,AUDL 2018,TB,Tampa Bay Cannons
362,Austin Lee,AUDL 2017,MIN,Minnesota Wind Chill
363,Austin Lee,AUDL 2016,MIN,Minnesota Wind Chill
364,Austin Lee,AUDL 2015,MIN,Minnesota Wind Chill
365,Austin Lien,AUDL 2017,MIN,Minnesota Wind Chill
366,Austin Lien,AUDL 2016,MIN,Minnesota Wind Chill
367,Austin Lien,AUDL 2015,MIN,Minnesota Wind Chill
368,Austin Lien,AUDL 2014,MIN,Minnesota Wind Chill
369,Austin Lien,AUDL 2013,MIN,Minnesota Wind Chill
370,Austin Raymond,AUDL 2012,CON,Connecticut Consitution
371,Austin Taylor,AUDL 2018,ATL,Atlanta Hustle
372,Austin Taylor,AUDL 2017,ATL,Atlanta Hustle
373,Austin Taylor,AUDL 2016,ATL,Atlanta Hustle
374,Avery Johnson,AUDL 2018,MAD,Madison Radicals
375,Avery Johnson,AUDL 2017,MAD,Madison Radicals
376,Avery Van Brussel,AUDL 2016,TB,Jacksonville Cannons
377,Avery Van Brussel,AUDL 2015,TB,Jacksonville Cannons
378,Barrs Lang,AUDL 2016,SF,San Francisco FlameThrowers
379,Barrs Lang,AUDL 2015,SF,San Francisco FlameThrowers
380,Basile Limoges,AUDL 2017,MTL,Montreal Royal
381,Basile Limoges,AUDL 2015,MTL,Montreal Royal
382,Basten de Jongh,AUDL 2018,DET,Detroit Mechanix
383,Beau Hawkinson,AUDL 2018,MIN,Minnesota Wind Chill
384,Beau Kittredge,AUDL 2018,NY,New York Empire
385,Beau Kittredge,AUDL 2017,SF,San Francisco FlameThrowers
386,Beau Kittredge,AUDL 2016,DAL,Dallas Roughnecks
387,Beau Kittredge,AUDL 2015,SJ,San Jose Spiders
388,Beau Kittredge,AUDL 2014,SJ,San Jose Spiders
389,Ben Ayres,AUDL 2013,DET,Detroit Mechanix
390,Ben Ayres,AUDL 2012,DET,Detroit Mechanix
391,Ben Beehner,AUDL 2017,SEA,Seattle Cascades
392,Ben Blatz,AUDL 2014,CIN,Cincinnati Revolution
393,Ben Blatz,AUDL 2012,CIN,Cincinnati Revolution
394,Ben Breault,AUDL 2017,NSH,Nashville NightWatch
395,Ben Breault,AUDL 2016,ATL,Atlanta Hustle
396,Ben Breault,AUDL 2015,ATL,Atlanta Hustle
397,Ben Broser,AUDL 2014,PHI,Philadelphia Phoenix
398,Ben Davies,AUDL 2018,PHI,Philadelphia Phoenix
399,Ben Dieter,AUDL 2018,RAL,Raleigh Flyers
400,Ben Dieter,AUDL 2017,RAL,Raleigh Flyers
401,Ben Dieter,AUDL 2016,RAL,Raleigh Flyers
402,Ben Dieter,AUDL 2015,RAL,Raleigh Flyers
403,Ben Feldman,AUDL 2018,MIN,Minnesota Wind Chill
404,Ben Feldman,AUDL 2017,MIN,Minnesota Wind Chill
405,Ben Feldman,AUDL 2014,MIN,Minnesota Wind Chill
406,Ben Feldman,AUDL 2013,MIN,Minnesota Wind Chill
407,Ben Feng,AUDL 2016,DC,DC Breeze
408,Ben Feng,AUDL 2015,DC,DC Breeze
409,Ben Feng,AUDL 2014,DC,DC Breeze
410,Ben Gerroll,AUDL 2014,IND,Indianapolis AlleyCats
411,Ben Hubbard,AUDL 2015,SF,San Francisco FlameThrowers
412,Ben Ivers,AUDL 2017,NY,New York Empire
413,Ben Ivers,AUDL 2016,NY,New York Empire
414,Ben Ivers,AUDL 2015,NY,New York Empire
415,Ben Ivers,AUDL 2014,NY,New York Empire
416,Ben Ivers,AUDL 2013,NY,New York Empire
417,Ben Ivers,AUDL 2012,IND,Indianapolis AlleyCats
418,Ben Jagt,AUDL 2018,NY,New York Empire
419,Ben Jagt,AUDL 2017,NY,New York Empire
420,Ben Jagt,AUDL 2016,MIN,Minnesota Wind Chill
421,Ben Jagt,AUDL 2015,MIN,Minnesota Wind Chill
422,Ben Jagt,AUDL 2014,MIN,Minnesota Wind Chill
423,Ben Jansen,AUDL 2015,CIN,Cincinnati Revolution
424,Ben Jansen,AUDL 2014,CIN,Cincinnati Revolution
425,Ben Johnson,AUDL 2012,PHS,Philadelphia Spinners
426,Ben Katz,AUDL 2018,NY,New York Empire
427,Ben Katz,AUDL 2017,MTL,Montreal Royal
428,Ben Krumpelman,AUDL 2018,MTL,Montreal Royal
429,Ben Levinsky,AUDL 2018,SJ,San Jose Spiders
430,Ben Lewis,AUDL 2018,DAL,Dallas Roughnecks
431,Ben Lewis,AUDL 2017,DAL,Dallas Roughnecks
432,Ben Lewis,AUDL 2016,AUS,Austin Sol
