,Dallas Roughnecks,,Kurt,Gibson,Kurt Gibson,Kurt
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Ryan,Chard,Ryan Chard,Ryan Chard
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Mischa,Freystaetter,Mischa Freystaetter,Mischa Freystaetter
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Chris,Gibson,Chris Gibson,Gibson Chris
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Michael,Hickson,Michael Hickson,Michael Hickson
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Jeremy,Langdon,Jeremy Langdon,Jeremy Langdon
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Chris,LaRocque,Chris LaRocque,Chris LaRocque
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Bobby,Ley,Bobby Ley,Bobby Ley
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Andrew,McKelvey,Andrew McKelvey,Andrew McKelvey
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Bobby,Patterson,Bobby Patterson,Bobby Patterson
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Brandon,Perales,Brandon Perales,Brandon Perales
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Jakeem,Polk,Jakeem Polk,Jakeem Polk
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Andrew,Roney,Andrew Roney,Andrew Roney
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Adam,Russell,Adam Russell,Russell
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Mark,Schimmel,Mark Schimmel,Mark Schimmel
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Bradley,Seuntjens,Bradley Seuntjens,Bradley Seuntjens
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Cole,Sullivan,Cole Sullivan,Cole Sullivan
4/1/17,Jacksonville Cannons,Nashville Nightwatch,Dustin,Travaglini,Dustin Travaglini,Dustin Travaglini
4/1/17,Los Angeles Aviators,San Diego Growlers,Ted,Barnett,Ted Barnett,Barnett
4/1/17,Los Angeles Aviators,San Diego Growlers,Jacob,Bartholomew,Jacob Bartholomew,Bartholo
4/1/17,Los Angeles Aviators,San Diego Growlers,Timothy,Beatty,Timothy Beatty,Beatty
4/1/17,Los Angeles Aviators,San Diego Growlers,Steven,Brooks,Steven Brooks,Brooks S
