,Dallas Roughnecks,,Kurt,Gibson,Kurt Gibson,Kurt
4/23/17,Montreal Royal,New York Empire,Christophe,Tremblay-Joncas,Christophe Tremblay-Joncas,Christophe Tremblay-Joncas
4/23/17,Montreal Royal,New York Empire,Mike,Voelpel,Mike Voelpel,Mike Voelpel
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Andy,Barnhart,Andy Barnhart,Andy B
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Ben,Breault,Ben Breault,Ben B
4/23/17,Nashville Nightwatch,Jacksonville Cannons,John,Carden,John Carden,Carden
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Tyler,Conger,Tyler Conger,Conger
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Jesse,Dahms,Jesse Dahms,Jesse D
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Patrick,Dougherty,Patrick Dougherty,PatrickD
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Phillip,Dougherty,Phillip Dougherty,Phil D
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Matthew,Gallin,Matthew Gallin,Slater
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Colin,Grandon,Colin Grandon,Colin
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Corey,Hardesty,Corey Hardesty,Corey
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Patrick,Lindsey,Patrick Lindsey,Lindsey
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Justin,Moore,Justin Moore,J Moore
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Danny,On,Danny On,Danny On
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Javier,Ortiz,Javier Ortiz,Javi
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Xavier,Payne,Xavier Payne,Xavier
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Tom,Radcliffe,Tom Radcliffe,Radcliff
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Jesse,Shofner,Jesse Shofner,Jesse S
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Blake,Waldron,Blake Waldron,Blake W
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Kyle,Welch,Kyle Welch,Kyle W
4/23/17,Nashville Nightwatch,Jacksonville Cannons,Jake,Wright,Jake Wright,Jake W
4/23/17,New York Empire,Montreal Royal,Josh,Alorro,Josh Alorro,Alorro J
4/23/17,New York Empire,Montreal Royal,Matt,Auletta,Matt Auletta,Aulett M
4/23/17,New York Empire,Montreal Royal,Jeff,Babbitt,Jeff Babbitt,Babbit J
4/23/17,New York Empire,Montreal Royal,Taylor,Brooks,Taylor Brooks,Brooks T
4/23/17,New York Empire,Montreal Royal,Clark,Cofer,Clark Cofer,Cofer C
4/23/17,New York Empire,Montreal Royal,Mike,Drost,Mike Drost,Drost M
4/23/17,New York Empire,Montreal Royal,Ryan,Drost,Ryan Drost,Drost R
4/23/17,New York Empire,Montreal Royal,Harper,Garvey,Harper Garvey,Garvey H
4/23/17,New York Empire,Montreal Royal,Ian,Guerin,Ian Guerin,Guerin I
4/23/17,New York Empire,Montreal Royal,Tyler,Haskell,Tyler Haskell,Haskel T
4/23/17,New York Empire,Montreal Royal,Peter,Kalmakis,Peter Kalmakis,Kalmak P
4/23/17,New York Empire,Montreal Royal,Conor,Kline,Conor Kline,Kline C
4/23/17,New York Empire,Montreal Royal,Tim,Kominos,Tim Kominos,Komino T
4/23/17,New York Empire,Montreal Royal,Markian,Kuzmowycz,Markian Kuzmowycz,Kuzmow M
4/23/17,New York Empire,Montreal Royal,Matt,Lemar,Matt Lemar,Lemar M
4/23/17,New York Empire,Montreal Royal,Sam,Little,Sam Little,Little S
4/23/17,New York Empire,Montreal Royal,Jake,Price,Jake Price,Price J
4/23/17,New York Empire,Montreal Royal,Matt,Stevens,Matt Stevens,Steven M
4/23/17,New York Empire,Montreal Royal,Sam,Taylor,Sam Taylor,Taylor S
4/23/17,New York Empire,Montreal Royal,John,Wodatch,John Wodatch,Wodatc J
4/28/17,San Jose Spiders,Seattle Cascades,David,Abram,David Abram,David Abram
4/28/17,San Jose Spiders,Seattle Cascades,Tommy,Adams,Tommy Adams,Tommy Adams
4/28/17,San Jose Spiders,Seattle Cascades,Sam,Adamson,Sam Adamson,Sam Adamson
4/28/17,San Jose Spiders,Seattle Cascades,Evan,Boucher,Evan Boucher,Evan Boucher
4/28/17,San Jose Spiders,Seattle Cascades,Evan,Brydon,Evan Brydon,Evan Brydon
4/28/17,San Jose Spiders,Seattle Cascades,Chuck,Cao,Chuck Cao,Chuck Cao
4/28/17,San Jose Spiders,Seattle Cascades,Chris,Cogswell,Chris Cogswell,Chris Cogswell
4/28/17,San Jose Spiders,Seattle Cascades,Matthew,Crawford,Matthew Crawford,Matthew Crawford
4/28/17,San Jose Spiders,Seattle Cascades,Mike,Dirda,Mike Dirda,Mike Dirda
4/28/17,San Jose Spiders,Seattle Cascades,Brandon,Fein,Brandon Fein,Brandon Fein
4/28/17,San Jose Spiders,Seattle Cascades,Jeremy,Kharrazi,Jeremy Kharrazi,Jeremy Kharrazi
4/28/17,San Jose Spiders,Seattle Cascades,Drew,Kim,Drew Kim,Drew Kim
4/28/17,San Jose Spiders,Seattle Cascades,Ian,Meyer,Ian Meyer,Ian Meyer
4/28/17,San Jose Spiders,Seattle Cascades,Justin,Norden,Justin Norden,Justin Norden
4/28/17,San Jose Spiders,Seattle Cascades,Sergio,Perdomo,Sergio Perdomo,Sergio Perdomo
4/28/17,San Jose Spiders,Seattle Cascades,Jackson,Stearns,Jackson Stearns,Jackson Stearns
4/28/17,San Jose Spiders,Seattle Cascades,Alec,Surmani,Alec Surmani,Alec Surmani
4/28/17,San Jose Spiders,Seattle Cascades,Kelly,Van Arsdale,Kelly Van Arsdale,Kelly Van Arsdale
4/28/17,San Jose Spiders,Seattle Cascades,James,Yeager,James Yeager,James Yeager
4/28/17,San Jose Spiders,Seattle Cascades,Sonny,Zaccaro,Sonny Zaccaro,Sonny Zaccaro
4/28/17,Seattle Cascades,San Jose Spiders,Cam,Bailey,Cam Bailey,Cam S
4/28/17,Seattle Cascades,San Jose Spiders,Ben,Beehner,Ben Beehner,Ben B
4/28/17,Seattle Cascades,San Jose Spiders,Mark,Burton,Mark Burton,Mark B
4/28/17,Seattle Cascades,San Jose Spiders,John,Doherty,John Doherty,John D
4/28/17,Seattle Cascades,San Jose Spiders,Alex,Duffel,Alex Duffel,Alex D
4/28/17,Seattle Cascades,San Jose Spiders,Sam,Harkness,Sam Harkness,Sam H
4/28/17,Seattle Cascades,San Jose Spiders,Will,Herold,Will Herold,Will H
4/28/17,Seattle Cascades,San Jose Spiders,Brad,Houser,Brad Houser,Brad H
4/28/17,Seattle Cascades,San Jose Spiders,Zach,Jackson,Zach Jackson,Zach J
4/28/17,Seattle Cascades,San Jose Spiders,Evan,Klein,Evan Klein,Evan K
4/28/17,Seattle Cascades,San Jose Spiders,Mitch,Kulczak,Mitch Kulczak,Mitch K
4/28/17,Seattle Cascades,San Jose Spiders,Tommy,Li,Tommy Li,Tommy L
4/28/17,Seattle Cascades,San Jose Spiders,Daniel,Montoya,Daniel Montoya,Daniel M
4/28/17,Seattle Cascades,San Jose Spiders,Mario,O'Brien,Mario O'Brien,Mario O
4/28/17,Seattle Cascades,San Jose Spiders,Henry,Phan,Henry Phan,Henry P
4/28/17,Seattle Cascades,San Jose Spiders,Sam,Pickel,Sam Pickel,Sam P
4/28/17,Seattle Cascades,San Jose Spiders,John,Randolph,John Randolph,John R
4/28/17,Seattle Cascades,San Jose Spiders,Bryson,Simon Fox,Bryson Simon Fox,Bryson S
4/28/17,Seattle Cascades,San Jose Spiders,Xtehn,Titcomb,Xtehn Titcomb,Xtehn T
4/29/17,Austin Sol,Raleigh Flyers,Victor,Bautista,Victor Bautista,Victor Bautista Gonzalez
4/29/17,Austin Sol,Raleigh Flyers,Mitchell,Bennett,Mitchell Bennett,Mitchell Bennett
4/29/17,Austin Sol,Raleigh Flyers,Jason,Best,Jason Best,Jason Best
4/29/17,Austin Sol,Raleigh Flyers,Chase,Cunningham,Chase Cunningham,Cunnin C
4/29/17,Austin Sol,Raleigh Flyers,Aubrey,Davis,Aubrey Davis,Aubrey Davis
4/29/17,Austin Sol,Raleigh Flyers,Caleb,Denecour,Caleb Denecour,Deneco C
4/29/17,Austin Sol,Raleigh Flyers,Brandon,Dial,Brandon Dial,Dial B
4/29/17,Austin Sol,Raleigh Flyers,Michael,Hays,Michael Hays,Hays M
4/29/17,Austin Sol,Raleigh Flyers,Michael,Matthis,Michael Matthis,Michael Matthis
4/29/17,Austin Sol,Raleigh Flyers,Nash,Mock,Nash Mock,Nash Mock
4/29/17,Austin Sol,Raleigh Flyers,Lucky,Mosola,Lucky Mosola,Mosola L
4/29/17,Austin Sol,Raleigh Flyers,Rory,Orloff,Rory Orloff,Orloff R
4/29/17,Austin Sol,Raleigh Flyers,Ryan,Purcell,Ryan Purcell,Purcel R
4/29/17,Austin Sol,Raleigh Flyers,Jake,Reinhardt,Jake Reinhardt,Reinha J
4/29/17,Austin Sol,Raleigh Flyers,Doug,Richardson,Doug Richardson,Richar D
4/29/17,Austin Sol,Raleigh Flyers,Nathan,Sany,Nathan Sany,Sany N
4/29/17,Austin Sol,Raleigh Flyers,Jason,Schafer,Jason Schafer,Schafe J
4/29/17,Austin Sol,Raleigh Flyers,Andrew,Walch,Andrew Walch,Walch A
4/29/17,Austin Sol,Raleigh Flyers,Mick,Walter,Mick Walter,Mick Walter
4/29/17,Austin Sol,Raleigh Flyers,Carson,Wilder,Carson Wilder,Wilder C
4/29/17,Chicago Wildfire,Detroit Mechanix,Von,Alanguilan,Von Alanguilan,Von
4/29/17,Chicago Wildfire,Detroit Mechanix,Alex,Champe,Alex Champe,Champe
4/29/17,Chicago Wildfire,Detroit Mechanix,Michael,Egan,Michael Egan,Egan
4/29/17,Chicago Wildfire,Detroit Mechanix,Pawel,Janas,Pawel Janas,Janas
4/29/17,Chicago Wildfire,Detroit Mechanix,Eric,Johnson,Eric Johnson,Johnson
4/29/17,Chicago Wildfire,Detroit Mechanix,Karl,Kingma,Karl Kingma,Kingma
4/29/17,Chicago Wildfire,Detroit Mechanix,Bill,Kluender,Bill Kluender,Kluender
4/29/17,Chicago Wildfire,Detroit Mechanix,Trent,Kuhl,Trent Kuhl,Kuhl
4/29/17,Chicago Wildfire,Detroit Mechanix,Dan,Miller,Dan Miller,Miller
4/29/17,Chicago Wildfire,Detroit Mechanix,CJ,O'Brien,CJ O'Brien,O'Brien
4/29/17,Chicago Wildfire,Detroit Mechanix,Michael,Pardo,Michael Pardo,Pardo
4/29/17,Chicago Wildfire,Detroit Mechanix,Neal,Phelps,Neal Phelps,Phelps
4/29/17,Chicago Wildfire,Detroit Mechanix,Jimmy,Robin,Jimmy Robin,Robin
4/29/17,Chicago Wildfire,Detroit Mechanix,Alex,Rummelhart,Alex Rummelhart,Rummel
4/29/17,Chicago Wildfire,Detroit Mechanix,Jack,Shey,Jack Shey,Shey
4/29/17,Chicago Wildfire,Detroit Mechanix,James,Sykora,James Sykora,Sykora
4/29/17,Chicago Wildfire,Detroit Mechanix,Max,Trotter,Max Trotter,Trotter
4/29/17,Chicago Wildfire,Detroit Mechanix,Dan,Vockeroth,Dan Vockeroth,Vock
4/29/17,Chicago Wildfire,Detroit Mechanix,Dave,Woods,Dave Woods,Woods
4/29/17,Chicago Wildfire,Detroit Mechanix,Nick,Zeman,Nick Zeman,Zeman
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Jake,Anderson,Jake Anderson,Jake Anderson
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Reid,Bacon,Reid Bacon,Reid Bacon
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Matt,Bennett,Matt Bennett,Matt Bennett
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Abe,Coffin,Abe Coffin,Abe Coffin
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Patrick,Eberle,Patrick Eberle,Patrick Eberle
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Daniel,Emmons,Daniel Emmons,Daniel Emmons
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Jay,Froude,Jay Froude,Jay Froude
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Casey,Hogg,Casey Hogg,Casey Hogg
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Jason,Holleran,Jason Holleran,Jason Holleran
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Matt,Jackson,Matt Jackson,Matt Jackson
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Chris,Larberg,Chris Larberg,Chris Larberg
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Ben,Lohre,Ben Lohre,Ben Lohre
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Brandon,Malecek,Brandon Malecek,Brandon Malecek
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Kai,Marshall,Kai Marshall,Kai Marshall
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Chris,Mazur,Chris Mazur,Chris Mazur
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Stanley,Peterson,Stanley Peterson,Stanley Peterson
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Thomas,Slack,Thomas Slack,Thomas Slack
4/29/17,Dallas Roughnecks,Nashville Nightwatch,Dalton,Smith,Dalton Smith,Dalton Smith
4/29/17,DC Breeze,Ottawa Outlaws,John,Agan,John Agan,John Agan
4/29/17,DC Breeze,Ottawa Outlaws,Lloyd,Blake,Lloyd Blake,Lloyd Blake
4/29/17,DC Breeze,Ottawa Outlaws,David,Bloodgood,David Bloodgood,David Bloodgood
4/29/17,DC Breeze,Ottawa Outlaws,Cory,Broyles,Cory Broyles,Cory Broyles
4/29/17,DC Breeze,Ottawa Outlaws,Chuck,Cantone,Chuck Cantone,Chuck Cantone
4/29/17,DC Breeze,Ottawa Outlaws,Max,Cassell,Max Cassell,Max Cassell
4/29/17,DC Breeze,Ottawa Outlaws,Troy,Holland,Troy Holland,Troy Holland
4/29/17,DC Breeze,Ottawa Outlaws,Delrico,Johnson,Delrico Johnson,Delrico Johnson
4/29/17,DC Breeze,Ottawa Outlaws,Matt,Kerrigan,Matt Kerrigan,Matt Kerrigan
4/29/17,DC Breeze,Ottawa Outlaws,Alan,Kolick,Alan Kolick,Alan Kolick
4/29/17,DC Breeze,Ottawa Outlaws,Matthew,McDonnell,Matthew McDonnell,Matthew McDonnell
4/29/17,DC Breeze,Ottawa Outlaws,Keven,Moldenhauer,Keven Moldenhauer,Keven Moldenhauer
4/29/17,DC Breeze,Ottawa Outlaws,Tyler,Monroe,Tyler Monroe,Tyler M
4/29/17,DC Breeze,Ottawa Outlaws,Ryan,Nam,Ryan Nam,Ryan N
4/29/17,DC Breeze,Ottawa Outlaws,Nathan,Prior,Nathan Prior,Nathan Prior
4/29/17,DC Breeze,Ottawa Outlaws,David,Shields,David Shields,David Shields
4/29/17,DC Breeze,Ottawa Outlaws,Justin,Solis,Justin Solis,Justin Solis
4/29/17,DC Breeze,Ottawa Outlaws,Ryan,Swift,Ryan Swift,Ryan Swift
4/29/17,DC Breeze,Ottawa Outlaws,John,Walden,John Walden,John Walden
4/29/17,Detroit Mechanix,Chicago Wildfire,Johnny,Bansfield,Johnny Bansfield,Johnny Bansfield
4/29/17,Detroit Mechanix,Chicago Wildfire,Jeff,Brauning,Jeff Brauning,Jeff Brauning
4/29/17,Detroit Mechanix,Chicago Wildfire,Michael,Burke,Michael Burke,Michael Burke
4/29/17,Detroit Mechanix,Chicago Wildfire,Nathan,Champoux,Nathan Champoux,Nathan Champoux
4/29/17,Detroit Mechanix,Chicago Wildfire,Kristopher,Coley,Kristopher Coley,Kristopher Coley
4/29/17,Detroit Mechanix,Chicago Wildfire,Michael,Dagher-Margosia,Michael Dagher-Margosia,Michael Dagher-Margosian
4/29/17,Detroit Mechanix,Chicago Wildfire,Anthony,Davis,Anthony Davis,Anthony Davis
4/29/17,Detroit Mechanix,Chicago Wildfire,Dan,Donovan,Dan Donovan,Dan Donovan
4/29/17,Detroit Mechanix,Chicago Wildfire,Austin,Engel,Austin Engel,Austin Engel
4/29/17,Detroit Mechanix,Chicago Wildfire,Gary,Grant,Gary Grant,Gary Grant
4/29/17,Detroit Mechanix,Chicago Wildfire,Eric,Hubbard,Eric Hubbard,Eric Hubbard
4/29/17,Detroit Mechanix,Chicago Wildfire,Danny,Hunt,Danny Hunt,Danny Hunt
4/29/17,Detroit Mechanix,Chicago Wildfire,Alex,Kapiamba,Alex Kapiamba,Alex Kapiamba
4/29/17,Detroit Mechanix,Chicago Wildfire,Erik,Lindberg,Erik Lindberg,Erik Lindberg
4/29/17,Detroit Mechanix,Chicago Wildfire,Josh,Lyder,Josh Lyder,Josh Lyder
4/29/17,Detroit Mechanix,Chicago Wildfire,Ryan,Mariouw,Ryan Mariouw,Ryan Mariouw
4/29/17,Detroit Mechanix,Chicago Wildfire,Bobby,Moyer,Bobby Moyer,Bobby Moyer
4/29/17,Detroit Mechanix,Chicago Wildfire,Ben,Murphy,Ben Murphy,Ben Murphy
4/29/17,Detroit Mechanix,Chicago Wildfire,Adnan,Raslan,Adnan Raslan,Adnan Raslan
4/29/17,Detroit Mechanix,Chicago Wildfire,Jake,Steslicki,Jake Steslicki,Jake Steslicki
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Michael,Ames,Michael Ames,Michael Ames
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Cameron,Brock,Cameron Brock,Cameron Brock
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Joey,Cari,Joey Cari,Joey
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Travis,Carpenter,Travis Carpenter,Travis Carpenter
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Josh,Duncan,Josh Duncan,Josh Duncan
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Jake,Fella,Jake Fella,Jake Fella
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Rick,Gross,Rick Gross,Rick Gross
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Alex,Hamilton,Alex Hamilton,Alex Hamilton
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Levi,Jacobs,Levi Jacobs,Levi Jacobs
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Ryan,Jarvis,Ryan Jarvis,Ryan Jarvis
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,John,Jones,John Jones,John Jones
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Wally,Kasprzycki,Wally Kasprzycki,Wally Kasprzycki
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,William,Kasprzycki,William Kasprzycki,William Kasprzycki
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Mike,Kobyra,Mike Kobyra,Mike Kobyra
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Spencer,Loscar,Spencer Loscar,Spencer Loscar
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Keenan,Plew,Keenan Plew,Keenan Plew
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Colin,Ringwood,Colin Ringwood,Colin Ringwood
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Aaron,Schwartz,Aaron Schwartz,Aaron Schwartz
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Jon,Wenger,Jon Wenger,Jon Wenger
4/29/17,Indianapolis AlleyCats,Pittsburgh Thunderbirds,Zach,Zebarth,Zach Zebarth,Zach Zebarth
4/29/17,Jacksonville Cannons,Austin Sol,Alex,Bullock,Alex Bullock,Bullock
4/29/17,Jacksonville Cannons,Austin Sol,Andrew,Carleton,Andrew Carleton,Andrew Carleton
4/29/17,Jacksonville Cannons,Austin Sol,Travis,Catron,Travis Catron,Catron
4/29/17,Jacksonville Cannons,Austin Sol,Ryan,Chard,Ryan Chard,Chard
4/29/17,Jacksonville Cannons,Austin Sol,Mischa,Freystaetter,Mischa Freystaetter,Freystae
4/29/17,Jacksonville Cannons,Austin Sol,Chris,Gibson,Chris Gibson,Gibson
4/29/17,Jacksonville Cannons,Austin Sol,Jordan,Huston,Jordan Huston,Huston
4/29/17,Jacksonville Cannons,Austin Sol,Stephen,Ierardi,Stephen Ierardi,Ierardi
4/29/17,Jacksonville Cannons,Austin Sol,James,Koerner,James Koerner,Koerner
4/29/17,Jacksonville Cannons,Austin Sol,Tyler,Kunsa,Tyler Kunsa,Kunsa
4/29/17,Jacksonville Cannons,Austin Sol,Jeremy,Langdon,Jeremy Langdon,Langdon
4/29/17,Jacksonville Cannons,Austin Sol,Chris,LaRocque,Chris LaRocque,LaRocque
4/29/17,Jacksonville Cannons,Austin Sol,Bobby,Ley,Bobby Ley,Ley
4/29/17,Jacksonville Cannons,Austin Sol,Andrew,McKelvey,Andrew McKelvey,McKelvey
4/29/17,Jacksonville Cannons,Austin Sol,Brandon,Perales,Brandon Perales,Perales
4/29/17,Jacksonville Cannons,Austin Sol,Jakeem,Polk,Jakeem Polk,Polk
4/29/17,Jacksonville Cannons,Austin Sol,Andrew,Roney,Andrew Roney,Roney
4/29/17,Jacksonville Cannons,Austin Sol,Bradley,Seuntjens,Bradley Seuntjens,Seuntjen
4/29/17,Jacksonville Cannons,Austin Sol,Cole,Sullivan,Cole Sullivan,Sullivan
4/29/17,Jacksonville Cannons,Austin Sol,Dustin,Travaglini,Dustin Travaglini,Travagli
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Ted,Barnett,Ted Barnett,Barnett
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Jacob,Bartholomew,Jacob Bartholomew,Bartholo
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Timothy,Beatty,Timothy Beatty,Beatty
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Steven,Brooks,Steven Brooks,Brooks S
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Tom,Doi,Tom Doi,Doi T
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Eli,Friedman,Eli Friedman,Friedman
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Brent,George,Brent George,George B
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Kuo,Hsun Wang,Kuo Hsun Wang,Wang Kuo
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Michael,Kiyoi,Michael Kiyoi,Kiyoi
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Allen,Lai,Allen Lai,Lai A
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Eric,Lissner,Eric Lissner,Lissner
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Josiah,Mort,Josiah Mort,Mort J
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Bryan,Nguyen,Bryan Nguyen,Nguyen B
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Andrew,Padula,Andrew Padula,Padula A
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Nate,Ransom,Nate Ransom,Ransom N
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Brandon,Severson,Brandon Severson,Severson
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Mitchell,Steiner,Mitchell Steiner,Steiner
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Zach,Theodore,Zach Theodore,Theodore
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Matt,Theologidy,Matt Theologidy,Theologi
4/29/17,Los Angeles Aviators,San Francisco Flamethrowers,Aaron,Weaver,Aaron Weaver,Weaver A
4/29/17,Madison Radicals,Minnesota Wind Chill,Andrew,Brown,Andrew Brown,A Brown
4/29/17,Madison Radicals,Minnesota Wind Chill,Kevin,Brown,Kevin Brown,K Brown
4/29/17,Madison Radicals,Minnesota Wind Chill,Colin,Camp,Colin Camp,Camp
4/29/17,Madison Radicals,Minnesota Wind Chill,Thomas,Coolidge,Thomas Coolidge,Coolidge
4/29/17,Madison Radicals,Minnesota Wind Chill,Bill,Everhart,Bill Everhart,Everhart
4/29/17,Madison Radicals,Minnesota Wind Chill,Benjy,Keren,Benjy Keren,Keren
4/29/17,Madison Radicals,Minnesota Wind Chill,Victor,Luo,Victor Luo,Luo
4/29/17,Madison Radicals,Minnesota Wind Chill,Chase,Marty,Chase Marty,Marty
4/29/17,Madison Radicals,Minnesota Wind Chill,Marquis,Mason,Marquis Mason,Mason
4/29/17,Madison Radicals,Minnesota Wind Chill,David,Meinecke,David Meinecke,Buddy
4/29/17,Madison Radicals,Minnesota Wind Chill,Andrew,Meshnick,Andrew Meshnick,Meshnick
4/29/17,Madison Radicals,Minnesota Wind Chill,Ben,Nelson,Ben Nelson,Nelson
4/29/17,Madison Radicals,Minnesota Wind Chill,Kevin,Pettit-Scantling,Kevin Pettit-Scantling,KPS
4/29/17,Madison Radicals,Minnesota Wind Chill,Logan,Pruess,Logan Pruess,Pruess
4/29/17,Madison Radicals,Minnesota Wind Chill,Pat,Shriwise,Pat Shriwise,Shriwise
4/29/17,Madison Radicals,Minnesota Wind Chill,Nate,Thibedeau,Nate Thibedeau,Thib
4/29/17,Madison Radicals,Minnesota Wind Chill,Matt,Weber,Matt Weber,Weber
4/29/17,Madison Radicals,Minnesota Wind Chill,Joshua,Wilson,Joshua Wilson,Jdub
4/29/17,Madison Radicals,Minnesota Wind Chill,Dave,Wiseman,Dave Wiseman,Wiseman
4/29/17,Minnesota Wind Chill,Madison Radicals,Colin,Berry,Colin Berry,Colin Berry
4/29/17,Minnesota Wind Chill,Madison Radicals,Matt,Burkhardt,Matt Burkhardt,Matt Burkhardt
4/29/17,Minnesota Wind Chill,Madison Radicals,Danny,Collom,Danny Collom,Collom D
4/29/17,Minnesota Wind Chill,Madison Radicals,Greg,Cousins,Greg Cousins,Cousi G
4/29/17,Minnesota Wind Chill,Madison Radicals,Dylan,DeClerck,Dylan DeClerck,DeCler D
4/29/17,Minnesota Wind Chill,Madison Radicals,Jay,Drescher,Jay Drescher,Jay Drescher
4/29/17,Minnesota Wind Chill,Madison Radicals,Ben,Feldman,Ben Feldman,Feldma B
4/29/17,Minnesota Wind Chill,Madison Radicals,Tristan,Grovender,Tristan Grovender,Groven T
4/29/17,Minnesota Wind Chill,Madison Radicals,"Eric ""EJ""",Johnson,"Eric ""EJ"" Johnson",Johnso E
4/29/17,Minnesota Wind Chill,Madison Radicals,Jimmy,Kittlesen,Jimmy Kittlesen,Jimmy Kittlesen
4/29/17,Minnesota Wind Chill,Madison Radicals,Josh,Klane,Josh Klane,Klane J
4/29/17,Minnesota Wind Chill,Madison Radicals,Austin,Lien,Austin Lien,Lien A
4/29/17,Minnesota Wind Chill,Madison Radicals,Brandon,Matis,Brandon Matis,Matis B
4/29/17,Minnesota Wind Chill,Madison Radicals,Ryan,Osgar,Ryan Osgar,Osgar R
4/29/17,Minnesota Wind Chill,Madison Radicals,Ethan,Rasmussen,Ethan Rasmussen,Rasmus E
4/29/17,Minnesota Wind Chill,Madison Radicals,Brian,Schoenrock,Brian Schoenrock,Schoen B
4/29/17,Minnesota Wind Chill,Madison Radicals,Nicholas,Simonelli,Nicholas Simonelli,Simone N
4/29/17,Minnesota Wind Chill,Madison Radicals,Jason,Tschida,Jason Tschida,Tschid J
4/29/17,Minnesota Wind Chill,Madison Radicals,Bryan,Vohnoutka,Bryan Vohnoutka,Vohnto B
4/29/17,Minnesota Wind Chill,Madison Radicals,Logan,Weiss,Logan Weiss,Logan Weiss
