,Year,Teamname,Username,PlayerName
262,2019,Raleigh Radiance,J Jones,Jessi Jones
137,2019,Indy Red,J Lai,Jackie Lai
263,2019,Raleigh Radiance,J Ledlee,Judy Ledlee
97,2019,Columbus Pride,J Matoni,Jackie Matonis
23,2019,Atlanta Soul,J Matsun,Jin Mi Matsunaga
98,2019,Columbus Pride,J Perry,Jenny Perry
66,2019,Austin Torch,J Schmal,Julia Schmaltz
138,2019,Indy Red,J Smets,Jamie Smets
264,2019,Raleigh Radiance,J Wei,Jenny Wei
265,2019,Raleigh Radiance,J. Jones,Jessi Jones
266,2019,Raleigh Radiance,J. Ledle,Judy Ledlee
267,2019,Raleigh Radiance,J. Wei,Jenny Wei
100,2019,Columbus Pride,Jakie,Shakes
101,2019,Columbus Pride,Jenny,Jenny Perry
24,2019,Atlanta Soul,Jin-Mi,Jin Mi Matsunaga
25,2019,Atlanta Soul,Jones,Lizzie Jones
268,2019,Raleigh Radiance,JonesJes,Jessi Jones
99,2019,Columbus Pride,JT,JT
269,2019,Raleigh Radiance,K Backus,Katie Backus
139,2019,Indy Red,K Baxter,Kristin Baxter
140,2019,Indy Red,K Dudley,Kristin Dudley
26,2019,Atlanta Soul,K Emrick,Kayla Emrick
188,2019,Nashville Nightshade,K Fergus,Kayla Ferguson
67,2019,Austin Torch,K Forth,Katey Forth
189,2019,Nashville Nightshade,K Foster,Kelsey Foster
27,2019,Atlanta Soul,K Franch,Katie Franchot
164,2019,Medellin Revolution,K Helton,Kaela Helton
214,2019,New York Gridlock,K Hyland,Kelly Hyland
141,2019,Indy Red,K Kaweck,Kristen Kaweck
215,2019,New York Gridlock,K Kelly,Kristie Kelly
142,2019,Indy Red,K Kerker,Kelly Kerker
102,2019,Columbus Pride,K Kuzmic,Kelsey Kuzmic
143,2019,Indy Red,K McIner,Kate McInerney
68,2019,Austin Torch,K Metzle,Katie Metzler
69,2019,Austin Torch,K Ramire,Kayla Ramirez
28,2019,Atlanta Soul,K Travag,Katelyn Travaglini
29,2019,Atlanta Soul,K Yost,Katherine Yost
270,2019,Raleigh Radiance,K. Backu,Katie Backus
30,2019,Atlanta Soul,Kate T,Katie Franchot
103,2019,Columbus Pride,Kelsey,Kelsey Kuzmic
165,2019,Medellin Revolution,L Arango,Laura Arango
190,2019,Nashville Nightshade,L Barnes,Liz Barnes
144,2019,Indy Red,L Boyle,Lauren Boyle
191,2019,Nashville Nightshade,L Bryant,Lauren Bryant
216,2019,New York Gridlock,L Doyle,Lauren Doyle
31,2019,Atlanta Soul,L Fitton,Lisa Fitton
145,2019,Indy Red,L Gates,Liz Gates
70,2019,Austin Torch,L Gerenc,Laura Gerencser
146,2019,Indy Red,L Goren,Lena Goren
32,2019,Atlanta Soul,L Jones,Lizzie Jones
217,2019,New York Gridlock,L McKenn,Lindsay McKenna
218,2019,New York Gridlock,L Morse,Linda Morse
219,2019,New York Gridlock,L Neves,Luisa Neves
271,2019,Raleigh Radiance,L Olson,Lyra Olson
166,2019,Medellin Revolution,L Ospina,Laura Ospina
220,2019,New York Gridlock,L Pionte,Lauren Piontek
272,2019,Raleigh Radiance,L Pitcai,Lisa Pitcaithley
273,2019,Raleigh Radiance,L Soo,Lindsay Soo
274,2019,Raleigh Radiance,L Stanla,Lyla Stanland
33,2019,Atlanta Soul,L Tsinaj,Leah Tsinajinnie
71,2019,Austin Torch,L White,Lilly White
221,2019,New York Gridlock,L Woods,Lauren Woods
275,2019,Raleigh Radiance,L. Soo,Lindsay Soo
276,2019,Raleigh Radiance,L. Stanl,Lyla Stanland
34,2019,Atlanta Soul,Leah T,Leah Tsinajinnie
277,2019,Raleigh Radiance,LedleeJu,Judy Ledlee
104,2019,Columbus Pride,Libby,Libby
167,2019,Medellin Revolution,M Carden,Manuela Cardenas
192,2019,Nashville Nightshade,M Creame,Meaghan Creamer
193,2019,Nashville Nightshade,M Dayton,Maggie Dayton
105,2019,Columbus Pride,M Flemin,Maddie Fleming
168,2019,Medellin Revolution,M Forero,Maria Angelica Forero
35,2019,Atlanta Soul,M Frey,Maddy Frey
106,2019,Columbus Pride,M Gregor,Martha Gregory
107,2019,Columbus Pride,M Griffi,Mallory Griffith
36,2019,Atlanta Soul,M Hicks,Marissa Hicks
72,2019,Austin Torch,M Land,Marissa Land
194,2019,Nashville Nightshade,M Letter,Mia Letterie
195,2019,Nashville Nightshade,M Lindse,Melanie Lindsey
37,2019,Atlanta Soul,M McCaml,Mo McCamley
38,2019,Atlanta Soul,M Perivi,Marie Perivier
108,2019,Columbus Pride,M Pletzk,Maddie Pletzke
39,2019,Atlanta Soul,M Reeves,Megan Reeves
196,2019,Nashville Nightshade,M Rodrig,Mariana Rodriguez
169,2019,Medellin Revolution,M Santos,Maria Paola Santos
