team,team abbrev,url,year
New York Gridlock,NY,https://www.ultianalytics.com/app/#/5135813138448384/players,2019
Medellin Revolution,MED,https://www.ultianalytics.com/app/#/5715522607906816/players,2019
Austin Torch,AUS,https://www.ultianalytics.com/app/#/5065933081018368/players,2019
Atlanta Soul,ATL,https://www.ultianalytics.com/app/#/6479513588334592/players,2019
Columbus Pride,COL,https://www.ultianalytics.com/app/#/5948275475611648/players,2019
Indy Red,IND,https://www.ultianalytics.com/app/#/4843857535565824/players,2019
Raleigh Radiance,RAL,https://www.ultianalytics.com/app/#/5489828200185856/players,2019
Nashville Nightshade,NSH,https://www.ultianalytics.com/app/#/4538790806814720/players,2019
