id,Teamname,Tournament,Username,PlayerName
98,Atlanta Hustle,AUDL 2017,Perivier,Jacques Perivier
99,Atlanta Hustle,AUDL 2018,Perivier,Jacques Perivier
100,Atlanta Hustle,AUDL 2018,Player,Player Pierce
101,Atlanta Hustle,AUDL 2016,Poole,Mark Poole
102,Atlanta Hustle,AUDL 2015,R James,Ryan James
103,Atlanta Hustle,AUDL 2015,R Runner,Robert Runner
104,Atlanta Hustle,AUDL 2015,RBradham,Robert Bradham
105,Atlanta Hustle,AUDL 2015,RSimmons,Ryans Simmons
106,Atlanta Hustle,AUDL 2018,Rae,Carter Rae
107,Atlanta Hustle,AUDL 2018,Rogers,Devon Rogers
108,Atlanta Hustle,AUDL 2016,Runner,Robert Runner
109,Atlanta Hustle,AUDL 2015,S Sears,Sean Sears
110,Atlanta Hustle,AUDL 2015,S. Hicks,Steven Hicks
111,Atlanta Hustle,AUDL 2016,Sansbury,Bryan Sansbury
112,Atlanta Hustle,AUDL 2016,Sears,Sean Sears
113,Atlanta Hustle,AUDL 2017,Sears,Sean Sears
114,Atlanta Hustle,AUDL 2015,Sebbi D,Sebbi Di Francesco
115,Atlanta Hustle,AUDL 2016,Sperling,Daniel Sperling
116,Atlanta Hustle,AUDL 2017,Sperling,Daniel Sperling
117,Atlanta Hustle,AUDL 2018,Sperling,Daniel Sperling
118,Atlanta Hustle,AUDL 2016,Staber,Karl Staber
119,Atlanta Hustle,AUDL 2017,Staber,Karl Staber
120,Atlanta Hustle,AUDL 2016,Sun,Sun Choi
121,Atlanta Hustle,AUDL 2017,Sun,Sun Choi
122,Atlanta Hustle,AUDL 2018,Sun,Sun Choi
123,Atlanta Hustle,AUDL 2015,Sun Choi,Sun Choi
124,Atlanta Hustle,AUDL 2015,T Spinks,Trenton Spinks
125,Atlanta Hustle,AUDL 2015,TGoforth,Taylor Goforth
126,Atlanta Hustle,AUDL 2016,The Law,
127,Atlanta Hustle,AUDL 2017,Thor,Josh Turner
128,Atlanta Hustle,AUDL 2018,Thor,Josh Turner
129,Atlanta Hustle,AUDL 2016,Tree,Taylor Goforth
130,Atlanta Hustle,AUDL 2017,Tree,Taylor Goforth
131,Atlanta Hustle,AUDL 2016,Trenton,Trenton Spinks
132,Atlanta Hustle,AUDL 2017,Trenton,Trenton Spinks
133,Atlanta Hustle,AUDL 2018,Trenton,Trenton Spinks
134,Atlanta Hustle,AUDL 2016,Vickroy,Nathan Vickroy
135,Atlanta Hustle,AUDL 2017,Vickroy,Nathan Vickroy
136,Atlanta Hustle,AUDL 2016,Walsh,
137,Atlanta Hustle,AUDL 2016,Will,Will Carmichael
138,Atlanta Hustle,AUDL 2018,Will L,Will Lindquist
139,Atlanta Hustle,AUDL 2016,Wooten,Frank Wooten
140,Atlanta Hustle,AUDL 2016,Yusuf,Yusuf Abdullah
141,Atlanta Hustle,AUDL 2017,Yusuf,Yusuf Abdullah
142,Atlanta Hustle,AUDL 2018,Yusuf,Yusuf Abdullah
143,Austin Sol,AUDL 2018,A Davis,Aubrey Davis
144,Austin Sol,AUDL 2018,A Walch,Andrew Walch
145,Austin Sol,AUDL 2018,ABrouwer,Alex Brouwer
146,Austin Sol,AUDL 2018,B Adams,Brendan Adams
147,Austin Sol,AUDL 2018,B Gfroer,Brian Gfroerer
148,Austin Sol,AUDL 2018,B Gramma,Brett Gramann
149,Austin Sol,AUDL 2016,Bautis V,Victor Bautista
150,Austin Sol,AUDL 2017,Bautis V,Victor Bautista
151,Austin Sol,AUDL 2016,Bennet M,Mitchell Bennett
152,Austin Sol,AUDL 2017,Bennet M,Mitchell Bennett
153,Austin Sol,AUDL 2017,Best J,Jason Best
154,Austin Sol,AUDL 2017,Biersc M,Matthew Bierschenk
155,Austin Sol,AUDL 2018,Bigley,Ryan Bigley
156,Austin Sol,AUDL 2016,Bigley R,Ryan Bigley
157,Austin Sol,AUDL 2017,Bigley R,Ryan Bigley
158,Austin Sol,AUDL 2016,Boyea D,David Boyea
159,Austin Sol,AUDL 2016,Brooks C,Chris Brooks
160,Austin Sol,AUDL 2017,Brooks C,Chris Brooks
161,Austin Sol,AUDL 2018,C Brooks,Chris Brooks
162,Austin Sol,AUDL 2018,C Cunnin,Chase Cunningham
163,Austin Sol,AUDL 2018,C Grimm,Christopher Grimm
164,Austin Sol,AUDL 2018,C Mika,Corey Mika
165,Austin Sol,AUDL 2018,C Vargas,Carlos Vargas
166,Austin Sol,AUDL 2017,Cecil J,John Cecil
167,Austin Sol,AUDL 2016,Clutto J,Joel Clutton
168,Austin Sol,AUDL 2016,Cunnin C,Chase Cunningham
169,Austin Sol,AUDL 2017,Cunnin C,Chase Cunningham
170,Austin Sol,AUDL 2018,D Richar,Doug Richardson
171,Austin Sol,AUDL 2017,Daftar K,Kamron Daftari
172,Austin Sol,AUDL 2017,Davis A,Aubrey Davis
173,Austin Sol,AUDL 2017,Deneco C,Caleb Denecour
174,Austin Sol,AUDL 2016,Denenc C,Caleb Denecour
175,Austin Sol,AUDL 2017,Dial B,Brandon Dial
176,Austin Sol,AUDL 2018,E Moore,Elliott Moore
177,Austin Sol,AUDL 2018,EPollack,Ethan Pollack
178,Austin Sol,AUDL 2017,Frohli J,Johnny Frohlichstein
179,Austin Sol,AUDL 2016,Graman B,Brett Gramann
180,Austin Sol,AUDL 2017,Graman B,Brett Gramann
181,Austin Sol,AUDL 2016,Halpri K,Kevin Halprin
182,Austin Sol,AUDL 2016,Hays M,Michael Hays
183,Austin Sol,AUDL 2017,Hays M,Michael Hays
184,Austin Sol,AUDL 2017,Henke K,Kyle Henke
185,Austin Sol,AUDL 2016,Hillis E,Eric Hillis
186,Austin Sol,AUDL 2016,Holler J,Jason Holleran
187,Austin Sol,AUDL 2018,J Cecil,John Cecil
188,Austin Sol,AUDL 2018,J Wolfe,Jerrod Wolfe
189,Austin Sol,AUDL 2018,J Zdrodo,Joshua Zdrodowski
190,Austin Sol,AUDL 2018,JCecil,John Cecil
191,Austin Sol,AUDL 2018,JHollera,Jason Holleran
192,Austin Sol,AUDL 2018,JLoskorn,Jeff Loskorn
193,Austin Sol,AUDL 2018,K Daftar,Kamron Daftari
194,Austin Sol,AUDL 2018,K Henke,Kyle Henke
195,Austin Sol,AUDL 2018,K Thomas,Kiran Thomas
196,Austin Sol,AUDL 2018,Kamron D,Kamron Daftari
197,Austin Sol,AUDL 2018,Kevin Ha,Kevin Halprin
198,Austin Sol,AUDL 2016,Kinney L,Logan Kinney
199,Austin Sol,AUDL 2017,Kinney L,Logan Kinney
200,Austin Sol,AUDL 2016,Lewis B,Ben Lewis
201,Austin Sol,AUDL 2016,Loskor J,Jeff Loskorn
202,Austin Sol,AUDL 2017,Loskor J,Jeff Loskorn
203,Austin Sol,AUDL 2018,M Biersc,Matthew Bierschenk
204,Austin Sol,AUDL 2018,M Cook,Max Cook
205,Austin Sol,AUDL 2018,M Natenb,Michael Natenberg
206,Austin Sol,AUDL 2018,M Walter,Mick Walter
207,Austin Sol,AUDL 2018,MMatthis,Michael Matthis
208,Austin Sol,AUDL 2018,MaBennet,Matt Bennett
209,Austin Sol,AUDL 2016,Matthi M,Michael Matthis
210,Austin Sol,AUDL 2017,Matthi M,Michael Matthis
211,Austin Sol,AUDL 2018,MiBennet,Mitchell Bennett
212,Austin Sol,AUDL 2016,Mock N,Nash Mock
213,Austin Sol,AUDL 2017,Mock N,Nash Mock
214,Austin Sol,AUDL 2017,Moore E,Elliott Moore
215,Austin Sol,AUDL 2016,Mosola L,Lucky Mosola
216,Austin Sol,AUDL 2017,Mosola L,Lucky Mosola
217,Austin Sol,AUDL 2018,Murphy,Sam Murphy
218,Austin Sol,AUDL 2018,N Whale,Nicholas Whale
219,Austin Sol,AUDL 2018,Naji,Steven Naji
220,Austin Sol,AUDL 2017,Naji S,Steven Naji
221,Austin Sol,AUDL 2018,Nash Moc,Nash Mock
222,Austin Sol,AUDL 2016,Orloff R,Rory Orloff
223,Austin Sol,AUDL 2017,Orloff R,Rory Orloff
224,Austin Sol,AUDL 2018,P Starke,Paul Starkel
225,Austin Sol,AUDL 2016,Poinde D,Daniel Poindexter
226,Austin Sol,AUDL 2016,Pollac E,Ethan Pollack
227,Austin Sol,AUDL 2017,Pollac E,Ethan Pollack
228,Austin Sol,AUDL 2016,Purcel R,Ryan Purcell
229,Austin Sol,AUDL 2017,Purcel R,Ryan Purcell
230,Austin Sol,AUDL 2018,R Lewis,Robert Lewis
231,Austin Sol,AUDL 2018,R Orloff,Rory Orloff
232,Austin Sol,AUDL 2018,RPurcell,Ryan Purcell
233,Austin Sol,AUDL 2017,Reinha J,Jake Reinhardt
234,Austin Sol,AUDL 2016,Richar D,Doug Richardson
235,Austin Sol,AUDL 2017,Richar D,Doug Richardson
236,Austin Sol,AUDL 2018,Rogers,Ferdia Rogers
237,Austin Sol,AUDL 2016,Sackma C,Christopher Sackmann
238,Austin Sol,AUDL 2017,Sany N,Nathan Sany
239,Austin Sol,AUDL 2017,Schafe J,Jason Schafer
240,Austin Sol,AUDL 2016,Starke P,Paul Starkel
241,Austin Sol,AUDL 2017,Starke P,Paul Starkel
242,Austin Sol,AUDL 2018,T Chiu,Tyler Chiu
243,Austin Sol,AUDL 2018,Unknown,
244,Austin Sol,AUDL 2018,VRenshaw,Valley Renshaw
245,Austin Sol,AUDL 2017,Vargas C,Carlos Vargas
246,Austin Sol,AUDL 2016,Walch A,Andrew Walch
247,Austin Sol,AUDL 2017,Walch A,Andrew Walch
248,Austin Sol,AUDL 2017,Walter M,Mick Walter
249,Austin Sol,AUDL 2016,Wilder C,Carson Wilder
250,Austin Sol,AUDL 2017,Wilder C,Carson Wilder
251,Austin Sol,AUDL 2016,Wolfe J,Jerrod Wolfe
252,Charlotte Express,AUDL 2015,Barry I,Ian Barry
253,Charlotte Express,AUDL 2016,Bode M,Matt Bode
254,Charlotte Express,AUDL 2015,Bostia A,Adam Bostian
255,Charlotte Express,AUDL 2015,Burns E,Ethan Burns
256,Charlotte Express,AUDL 2016,Cohen A,Andrew Cohen
257,Charlotte Express,AUDL 2016,Colicc C,CJ Colicchio
258,Charlotte Express,AUDL 2016,Cooper S,Sam Cooper
259,Charlotte Express,AUDL 2016,Fairfa J,Jacob Fairfax
260,Charlotte Express,AUDL 2015,Fontai S,Sam Fontaine
261,Charlotte Express,AUDL 2015,Fox E,Ed Fox
262,Charlotte Express,AUDL 2015,Gardne M,Mason Gardner
263,Charlotte Express,AUDL 2016,Gardne M,Mason Gardner
264,Charlotte Express,AUDL 2015,Gerber C,Chad Gerber
265,Charlotte Express,AUDL 2015,Glenn M,Matt Glenn
266,Charlotte Express,AUDL 2016,Goff N,Nate Goff
267,Charlotte Express,AUDL 2015,Grunin A,Andrew Gruninger
268,Charlotte Express,AUDL 2016,Grunin A,Andrew Gruninger
269,Charlotte Express,AUDL 2015,Hood M,Micah Hood
270,Charlotte Express,AUDL 2016,Hood M,Micah Hood
271,Charlotte Express,AUDL 2015,Howey E,Evan Howey
272,Charlotte Express,AUDL 2016,Howey E,Evan Howey
273,Charlotte Express,AUDL 2015,Johnso C,Jon Stone
274,Charlotte Express,AUDL 2015,Kelley S,Sean Kelley
275,Charlotte Express,AUDL 2016,Kelley S,Sean Kelley
276,Charlotte Express,AUDL 2015,Lee S,Sam Lee
277,Charlotte Express,AUDL 2016,Lee S,Sam Lee
278,Charlotte Express,AUDL 2015,Lieber J,Jesse Lieberman
