,Teamname,Name
522,Minnesota Wind Chill,Ethan Rasmussen
523,Minnesota Wind Chill,Ben Pavelka
524,Minnesota Wind Chill,Cam Burden
525,Minnesota Wind Chill,Michael Jordan
526,Minnesota Wind Chill,Ryan Welch
527,Minnesota Wind Chill,Daniel Bates
528,Minnesota Wind Chill,Josh Klane
529,Minnesota Wind Chill,Saurov Dubey
530,Minnesota Wind Chill,James Kittlesen
531,Minnesota Wind Chill,Alan Scarth
532,Minnesota Wind Chill,Dylan DeClerck
533,Minnesota Wind Chill,Brandon Matis
534,Minnesota Wind Chill,Jason Tschida
535,Minnesota Wind Chill,Drew Otterlei
536,Minnesota Wind Chill,Tate Halberg
537,Minnesota Wind Chill,Isaac Leonard
538,Minnesota Wind Chill,Pat Cashman
539,Minnesota Wind Chill,Quinn Snider
540,Raleigh Flyers,Vikram Sethuraman
541,Raleigh Flyers,Justin Allen
542,Raleigh Flyers,Sol Yanuck
543,Raleigh Flyers,Jakeem Polk
544,Raleigh Flyers,JD Hastings
545,Raleigh Flyers,Charlie Muniz
546,Raleigh Flyers,Chuck Cantone
547,Raleigh Flyers,Jonathan Nethercutt
548,Raleigh Flyers,Terrence Mitchell
549,Raleigh Flyers,Jacob Mouw
550,Raleigh Flyers,Henry Fisher
551,Raleigh Flyers,Mischa Freystaetter
552,Raleigh Flyers,Joey Cretella
553,Raleigh Flyers,Shane Sisco
554,Raleigh Flyers,Kiron Allen
555,Raleigh Flyers,Eric Taylor
556,Raleigh Flyers,Evan Howey
557,Raleigh Flyers,Jacob Fairfax
558,Raleigh Flyers,Ross Ward
559,Raleigh Flyers,Johnnie Lynch
560,Raleigh Flyers,Jeff Nordgren
561,Raleigh Flyers,Noah Saul
562,Raleigh Flyers,Mike Pannone
563,Raleigh Flyers,Allan Laviolette
564,Raleigh Flyers,Andrew McKelvey
565,Raleigh Flyers,Tristan Green
566,Raleigh Flyers,Jordan Perry
567,Raleigh Flyers,Tim McAllister
568,Raleigh Flyers,Kamron Daftari
569,Raleigh Flyers,Andrew Cohen
570,Raleigh Flyers,Sam Gabrielson
571,Raleigh Flyers,David Richardson
572,Raleigh Flyers,Josh Hartzog
573,Philadelphia Phoenix,Dustin Damiano
574,Philadelphia Phoenix,Brandon Pastor
575,Philadelphia Phoenix,Shashank Alladi
576,Philadelphia Phoenix,Austin Lillis
577,Philadelphia Phoenix,Greg Martin
578,Philadelphia Phoenix,Mike Campanella
579,Philadelphia Phoenix,Nick Patel
580,Philadelphia Phoenix,Ethan Fortin
581,Philadelphia Phoenix,Himalaya Mehta
582,Philadelphia Phoenix,Matt Esser
583,Philadelphia Phoenix,Scott Xu
584,Philadelphia Phoenix,Zac Sands
585,Philadelphia Phoenix,Stuart Hean
586,Philadelphia Phoenix,Jordan Ciccarone
587,Philadelphia Phoenix,James Pollard
588,Philadelphia Phoenix,William Sickles
589,Philadelphia Phoenix,David Baer
590,Philadelphia Phoenix,Francisco Gomez
591,Philadelphia Phoenix,Mike Arcata
592,Philadelphia Phoenix,Allan Michel
593,Philadelphia Phoenix,Ethan Peck
594,Philadelphia Phoenix,Trey Katzenbach
595,Philadelphia Phoenix,Colin Masino
596,Philadelphia Phoenix,Brice Dunn
597,Philadelphia Phoenix,Marc Sands
598,Philadelphia Phoenix,Ryan Weaver
599,Philadelphia Phoenix,Evan Karson
600,Philadelphia Phoenix,Peter Burt
601,Philadelphia Phoenix,Sean Mott
602,Philadelphia Phoenix,Eric Nardelli
