year,teams,id,teams-href
2015,Atlanta Hustle,5708939920408576,http://www.ultianalytics.com/app/#/5708939920408576/players
2015,Philadelphia Phoenix,5641462360309760,http://www.ultianalytics.com/app/#/5641462360309760/players
2015,Rochester Dragons,5670377556541440,http://www.ultianalytics.com/app/#/5670377556541440/players
2015,Toronto Rush,5754980359208960,http://www.ultianalytics.com/app/#/5754980359208960/players
2015,Nashville NightWatch,5705718560718848,http://www.ultianalytics.com/app/#/5705718560718848/players
2015,Los Angeles Aviators,5118639615246336,http://www.ultianalytics.com/app/#/5118639615246336/players
2015,Jacksonville Cannons,5633494390669312,http://www.ultianalytics.com/app/#/5633494390669312/players
2015,San Francisco FlameThrowers,5758048710688768,http://www.ultianalytics.com/app/#/5758048710688768/players
2015,Cincinnati Revolution,5674069752020992,http://www.ultianalytics.com/app/#/5674069752020992/players
2015,Raleigh Flyers,5684793748488192,http://www.ultianalytics.com/app/#/5684793748488192/players
2015,Ottawa Outlaws,5751646390845440,http://www.ultianalytics.com/app/#/5751646390845440/players
2015,San Diego Growlers,5734743547052032,http://www.ultianalytics.com/app/#/5734743547052032/players
2015,Detroit Mechanix,5738275486564352,http://www.ultianalytics.com/app/#/5738275486564352/players
2015,Chicago Wildfire,5671536392404992,http://www.ultianalytics.com/app/#/5671536392404992/players
2015,Madison Radicals,5070544437248000,http://www.ultianalytics.com/app/#/5070544437248000/players
2015,New York Empire,5704221898833920,http://www.ultianalytics.com/app/#/5704221898833920/players
2015,Vancouver Riptide,5701751084679168,http://www.ultianalytics.com/app/#/5701751084679168/players
2015,Charlotte Express,5643517367943168,http://www.ultianalytics.com/app/#/5643517367943168/players
2015,San Jose Spiders,5722152447770624,http://www.ultianalytics.com/app/#/5722152447770624/players
2015,DC Breeze,5635093192245248,http://www.ultianalytics.com/app/#/5635093192245248/players
2015,Seattle Cascades,5681589568667648,http://www.ultianalytics.com/app/#/5681589568667648/players
2015,Indianapolis AlleyCats,5724822843686912,http://www.ultianalytics.com/app/#/5724822843686912/players
2015,Montreal Royal,5753050442498048,http://www.ultianalytics.com/app/#/5753050442498048/players
2015,Minnesota Wind Chill,5683257223938048,http://www.ultianalytics.com/app/#/5683257223938048/players
2015,Pittsburgh Thunderbirds,5651757665353728,http://www.ultianalytics.com/app/#/5651757665353728/players
