web-scraper-order,web-scraper-start-url,year,year-href,teams,teams-href
1524433902-1896,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Los Angeles Aviators,http://www.ultianalytics.com/app/#/4919856549855232/players
1524433902-1902,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5153306812874752/players
1524433902-1887,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Austin Sol,http://www.ultianalytics.com/app/#/5128666635829248/players
1524433902-1904,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5758196635402240/players
1524433902-1911,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Vancouver Riptide,http://www.ultianalytics.com/app/#/6327231433408512/players
1524433902-1891,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,DC Breeze,http://www.ultianalytics.com/app/#/5705148370255872/players
1524433902-1898,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5142198416834560/players
1524433902-1907,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5743365039587328/players
1524433902-1905,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Raleigh Flyers,http://www.ultianalytics.com/app/#/5199033182191616/players
1524433902-1892,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Dallas Roughnecks,http://www.ultianalytics.com/app/#/5206956054675456/players
1524433902-1895,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Jacksonville Cannons,http://www.ultianalytics.com/app/#/5723974822526976/players
1524433902-1897,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Madison Radicals,http://www.ultianalytics.com/app/#/5114556594520064/players
1524433902-1893,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Detroit Mechanix,http://www.ultianalytics.com/app/#/5769906008096768/players
1524433902-1888,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Charlotte Express,http://www.ultianalytics.com/app/#/5640136574369792/players
1524433902-1890,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Cincinnati Revolution,http://www.ultianalytics.com/app/#/5069252692279296/players
1524433902-1886,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Atlanta Hustle,http://www.ultianalytics.com/app/#/5664284977659904/players
1524433902-1903,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5675918433452032/players
1524433902-1909,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Seattle Cascades,http://www.ultianalytics.com/app/#/4860723440123904/players
1524433902-1910,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Toronto Rush,http://www.ultianalytics.com/app/#/5764281479987200/players
1524433902-1901,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,New York Empire,http://www.ultianalytics.com/app/#/5632202645700608/players
1524433902-1908,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,San Jose Spiders,http://www.ultianalytics.com/app/#/5716256766296064/players
1524433902-1894,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5201331526565888/players
1524433902-1899,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Montreal Royal,http://www.ultianalytics.com/app/#/5686487861428224/players
1524433902-1889,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Chicago Wildfire,http://www.ultianalytics.com/app/#/5691616589250560/players
1524433902-1900,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,Nashville NightWatch,http://www.ultianalytics.com/app/#/5749730717990912/players
1524433902-1906,http://www.ultianalytics.com/index.html,AUDL 2016,http://www.ultianalytics.com/index.html#collapse115,San Diego Growlers,http://www.ultianalytics.com/app/#/5664810037411840/players
