year,teams,id,teams-href
2016,Los Angeles Aviators,4919856549855232,http://www.ultianalytics.com/app/#/4919856549855232/players
2016,Ottawa Outlaws,5153306812874752,http://www.ultianalytics.com/app/#/5153306812874752/players
2016,Austin Sol,5128666635829248,http://www.ultianalytics.com/app/#/5128666635829248/players
2016,Pittsburgh Thunderbirds,5758196635402240,http://www.ultianalytics.com/app/#/5758196635402240/players
2016,Vancouver Riptide,6327231433408512,http://www.ultianalytics.com/app/#/6327231433408512/players
2016,DC Breeze,5705148370255872,http://www.ultianalytics.com/app/#/5705148370255872/players
2016,Minnesota Wind Chill,5142198416834560,http://www.ultianalytics.com/app/#/5142198416834560/players
2016,San Francisco FlameThrowers,5743365039587328,http://www.ultianalytics.com/app/#/5743365039587328/players
2016,Raleigh Flyers,5199033182191616,http://www.ultianalytics.com/app/#/5199033182191616/players
2016,Dallas Roughnecks,5206956054675456,http://www.ultianalytics.com/app/#/5206956054675456/players
2016,Jacksonville Cannons,5723974822526976,http://www.ultianalytics.com/app/#/5723974822526976/players
2016,Madison Radicals,5114556594520064,http://www.ultianalytics.com/app/#/5114556594520064/players
2016,Detroit Mechanix,5769906008096768,http://www.ultianalytics.com/app/#/5769906008096768/players
2016,Charlotte Express,5640136574369792,http://www.ultianalytics.com/app/#/5640136574369792/players
2016,Cincinnati Revolution,5069252692279296,http://www.ultianalytics.com/app/#/5069252692279296/players
2016,Atlanta Hustle,5664284977659904,http://www.ultianalytics.com/app/#/5664284977659904/players
2016,Philadelphia Phoenix,5675918433452032,http://www.ultianalytics.com/app/#/5675918433452032/players
2016,Seattle Cascades,4860723440123904,http://www.ultianalytics.com/app/#/4860723440123904/players
2016,Toronto Rush,5764281479987200,http://www.ultianalytics.com/app/#/5764281479987200/players
2016,New York Empire,5632202645700608,http://www.ultianalytics.com/app/#/5632202645700608/players
2016,San Jose Spiders,5716256766296064,http://www.ultianalytics.com/app/#/5716256766296064/players
2016,Indianapolis AlleyCats,5201331526565888,http://www.ultianalytics.com/app/#/5201331526565888/players
2016,Montreal Royal,5686487861428224,http://www.ultianalytics.com/app/#/5686487861428224/players
2016,Chicago Wildfire,5691616589250560,http://www.ultianalytics.com/app/#/5691616589250560/players
2016,Nashville NightWatch,5749730717990912,http://www.ultianalytics.com/app/#/5749730717990912/players
2016,San Diego Growlers,5664810037411840,http://www.ultianalytics.com/app/#/5664810037411840/players
