web-scraper-order,web-scraper-start-url,year,year-href,teams,teams-href
1524433822-1861,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Atlanta Hustle,http://www.ultianalytics.com/app/#/5708939920408576/players
1524433822-1876,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Philadelphia Phoenix,http://www.ultianalytics.com/app/#/5641462360309760/players
1524433822-1879,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Rochester Dragons,http://www.ultianalytics.com/app/#/5670377556541440/players
1524433822-1884,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Toronto Rush,http://www.ultianalytics.com/app/#/5754980359208960/players
1524433822-1873,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Nashville NightWatch,http://www.ultianalytics.com/app/#/5705718560718848/players
1524433822-1869,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Los Angeles Aviators,http://www.ultianalytics.com/app/#/5118639615246336/players
1524433822-1868,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Jacksonville Cannons,http://www.ultianalytics.com/app/#/5633494390669312/players
1524433822-1881,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,San Francisco FlameThrowers,http://www.ultianalytics.com/app/#/5758048710688768/players
1524433822-1864,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Cincinnati Revolution,http://www.ultianalytics.com/app/#/5674069752020992/players
1524433822-1878,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Raleigh Flyers,http://www.ultianalytics.com/app/#/5684793748488192/players
1524433822-1875,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Ottawa Outlaws,http://www.ultianalytics.com/app/#/5751646390845440/players
1524433822-1880,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,San Diego Growlers,http://www.ultianalytics.com/app/#/5734743547052032/players
1524433822-1866,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Detroit Mechanix,http://www.ultianalytics.com/app/#/5738275486564352/players
1524433822-1863,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Chicago Wildfire,http://www.ultianalytics.com/app/#/5671536392404992/players
1524433822-1870,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Madison Radicals,http://www.ultianalytics.com/app/#/5070544437248000/players
1524433822-1874,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,New York Empire,http://www.ultianalytics.com/app/#/5704221898833920/players
1524433822-1885,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Vancouver Riptide,http://www.ultianalytics.com/app/#/5701751084679168/players
1524433822-1862,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Charlotte Express,http://www.ultianalytics.com/app/#/5643517367943168/players
1524433822-1882,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,San Jose Spiders,http://www.ultianalytics.com/app/#/5722152447770624/players
1524433822-1865,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,DC Breeze,http://www.ultianalytics.com/app/#/5635093192245248/players
1524433822-1883,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Seattle Cascades,http://www.ultianalytics.com/app/#/5681589568667648/players
1524433822-1867,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Indianapolis AlleyCats,http://www.ultianalytics.com/app/#/5724822843686912/players
1524433822-1872,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Montreal Royal,http://www.ultianalytics.com/app/#/5753050442498048/players
1524433822-1871,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Minnesota Wind Chill,http://www.ultianalytics.com/app/#/5683257223938048/players
1524433822-1877,http://www.ultianalytics.com/index.html,AUDL 2015,http://www.ultianalytics.com/index.html#collapse125,Pittsburgh Thunderbirds,http://www.ultianalytics.com/app/#/5651757665353728/players
