,Actives,Team,Week,Year
17,Justin Allen ; Chuck Cantone; Andrew Cohen; Kamron Daftari; Jacob Fairfax; Henry Fisher; Mischa Freystaetter; Tristan Green; Allan Laviolette; Johnnie Lynch; Andrew McKelvey; Terrence Mitchell; Charlie Muniz ; Jakeem Polk; David Richardson; Noah Saul; Vikram Sethuraman; Eric Taylor; Ross Ward; Sol Yanuck,Raleigh Flyers,2,2019
18,Travis Dunn; Sam Fontaine; Wesley Groth; Jake Gutkowski; Aidan Hall; Sean Ham; Jonathan Helton; Maxwell Hume; Joseph Huppert; Steven Milardovich; Marcel Osborne; Trevor Purdy; Scott Radlauer; David Ritchie; Kyle Rubin; Ryo Senda; Kyle Smith; Reggie Sung; William Turner; Bailey Wu,San Diego Growlers,2,2019
19,Chuck  Cao; Steven Chang; Matt Crawford; Antoine Davis; Shane Earley; Ethan Falat; Brandon Fein; Jacob Greenberg; Keenan Laurence; Ben Levinsky; Justin Norden; Mark Philipson; Cyrus Ready Campbell; Brian Roach; Marcelo Sanchez; Aaron  Shi; Jackson Stearns; Skylohr Taylor; Gabe Taylor; Munis Thahir,San Jose Spiders,2,2019
20,"Zack Avello; Josh Bush; Sun Choi; Jason Crowe; Phillip Dougherty; Karl Ekwurtzel; Matthew Knowles; Mac McClellan; Christian Olsen; Javier Ortiz; Jaime Perez; Player Pierce; Carter Rae; Matt Smith; Trenton Spinks; Austin Taylor; Alex Trautman; Josh Turner; Kelvin Williams; Joel Wooten; Inactive: Elijah Jaime, Brett Hulsmeyer",Atlanta Hustle,3,2019
21,"Mitch Bennett; Matthew Bennett; Matt Bierschenk; Eric Brodbeck; John Cecil; Zach Cotter; Brian Gfroerer; Kyle Henke; Jason Holleran; Carter Hollo; Robert Lewis; Jeff Loskorn; Michael Matthis; Ethan Pollack; Doug Richardson; John Walter; Keivaun Waugh; Mason Wuensch; Joshua Zdrodowski; Jimmy Zuraw; Inactive: Rory Orloff, Ryan Purcell",Austin Sol,3,2019
22,Ross Barker; Jeremy Burril; Tommy Gallagher; Brenton Hard**; Pawel Janas; Jesse Johnson; Karl Kingma; David Meinecke; Danny Miller; Zane Rankin; Matt Rehder; Alex Rummelhart; Jack Shanahan; Drew Swanson; Jimmy Sykora; Cal Tornabene**; Seth Weaver; Jeff Weis; Dave Woods; Nick Zeman,Chicago Wildfire,3,2019
23,"Matthew Armour; Noah Chambers; Joel Clutton; Abe Coffin; Dan Emmons; Jay Froude; Dillon Larberg; Ben Lewis; Brandon Malecek; Zach Marbach; Kai Marshall; Kaplan Maurer; Griffin Miller; Connor  Olson; Jake Reinhardt; Ben Rogers; Thomas Slack; Dalton Smith; Connor  Ughetta; Carson Wilder; Inactive: Casey Hogg, Alex Brouwer",Dallas Roughnecks,3,2019
24,Jarrod Banks; Quinn Bergeron; David Bloodgood; Jay Boyle; Garrett Braun; Max Cassell; Matt Cullom; Cody Johnston; Alex Liu; Xavier Maxstadt; Matthew McDonnell; Anthony McLean; Ray Mendoza; AJ Merriman; Matt Neeley; Houston Parks; Nathan Prior; Kevin Versteeg; Kyle Vezina; Dane Warner,DC Breeze,3,2019
25,Kevin Anthony; James Baker Jr.**; Joshua Beaulieu**; Alexander Bertoia; Benjamin Cheer; Kevin Coulter; Joseph Cubitt; Mitchell DeNooyer; Karl Fauerbach; Wasdi Grimaldo B.; Ashton Hoffman; David Innis**; Austin Johnson; Jordan Kinde; Justin Perticone; Troy Roberts; Joe Rogers; Jeffery Schubert; Andrew Sjogren; Mark Whitton,Detroit Mechanix,3,2019
26,"Cameron Brock; Travis Carpenter; Kyle Cox; Jacob Fella**; Rick Gross; Alex Henderson; Conner Henderson; David Hortemiller; Dusty Hughes; Nick Hutton; Levi Jacobs; John Jones; Jeremy Keusch; Spencer Loscar; Chris Miller; Keegan North; Keenan Plew; Colin Ringwood**; Donovan Triplett; Zach Zebarth**; Inactive: Peter Carleton, Brett Matzuka",Indianapolis AlleyCats,3,2019
