player,team,year,honor,,,
Derek Alexander,ÊOttawa Outlaws,2015,All-AUDL 2nd Team,,,
Simon Higgins,ÊSan Jose Spiders,2015,All-AUDL 2nd Team,,,
Yoland Cabot,ÊMontreal Royal,2015,All-AUDL 2nd Team,,,
Isaiah Masek-Kelly,ÊToronto Rush,2015,East Team,,,
Derek Alexander,ÊOttawa Outlaws,2015,East Team,,,
Ryan Drost,ÊNew York Empire,2015,East Team,,,
Jeff Lindquist,ÊToronto Rush,2015,East Team,,,
Yoland Cabot,ÊMontreal Royal,2015,East Team,,,
Andrew Carroll,ÊToronto Rush,2015,East Team,,,
Kevin Groulx,ÊMontreal Royal,2015,East Team,,,
Tyler DeGirolamo,ÊPittsburgh Thunderbirds,2015,Midwest Team,,,
Andrew Meshnick,ÊMadison Radicals,2015,Midwest Team,,,
Brett Matzuka,ÊChicago Wildfire,2015,Midwest Team,,,
Jonathan Helton,ÊChicago Wildfire,2015,Midwest Team,,,
Keenan Plew,ÊIndianapolis AlleyCats,2015,Midwest Team,,,
Andrew Brown,ÊMadison Radicals,2015,Midwest Team,,,
Ben Jagt,ÊMinnesota Wind Chill,2015,Midwest Team,,,
Mischa Freystaetter,ÊJacksonville Cannons,2015,South Team,,,
Justin Allen,ÊRaleigh Flyers,2015,South Team,,,
Matt Smith,ÊAtlanta Hustle,2015,South Team,,,
Jarrett Bowen,ÊRaleigh Flyers,2015,South Team,,,
Tom Radcliffe,ÊNashville NightWatch,2015,South Team,,,
Micah Hood,ÊCharlotte Express,2015,South Team,,,
Paul Lally,ÊNashville NightWatch,2015,South Team,,,
Jimmy Mickle,ÊSan Diego Growlers,2015,West Team,,,
Beau Kittredge,ÊSan Jose Spiders,2015,West Team,,,
Matt Rehder,ÊSeattle Cascades,2015,West Team,,,
Lucas Dallmann,ÊSan Francisco FlameThrowers,2015,West Team,,,
Gagan Chatha,ÊVancouver Riptide,2015,West Team,,,
Ashlin Joye,ÊSan Jose Spiders,2015,West Team,,,
Simon Higgins,ÊSan Jose Spiders,2015,West Team,,,
Tyler Degirolamo,DC Breeze,2014,All-AUDL 1st Team,,,
Peter Graffy,Madison Radicals,2014,All-AUDL 1st Team,,,
Goose Helton,Chicago Wildfire,2014,All-AUDL 1st Team,,,
Ashlin Joye,San Jose Spiders,2014,All-AUDL 1st Team,,,
Beau Kittredge,San Jose Spiders,2014,All-AUDL 1st Team,,,
Mark Lloyd,Toronto Rush,2014,All-AUDL 1st Team,,,
Cassidy Rasmussen,San Francisco FlameThrowers,2014,All-AUDL 1st Team,,,
Goose Helton,Chicago Wildfire,2013,All-AUDL 1st Team,,,
