,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
92,San Diego Growlers,30,"Sat, 6/22 6:00 PM PDT Seattle",Seattle Cascades,25,/league/game/2019-06-22-SD-SEA,2019,2019-06-22,6:00 PM PDT,Seattle,12,89
93,Chicago Wildfire,24,"Sat, 6/22 5:45 PM EDT Detroit",Detroit Mechanix,11,/league/game/2019-06-22-CHI-DET,2019,2019-06-22,5:45 PM EDT,Detroit,12,88
94,Philadelphia Phoenix,18,"Sat, 6/22 4:00 PM EDT DC",DC Breeze,21,/league/game/2019-06-22-PHI-DC,2019,2019-06-22,4:00 PM EDT,DC,12,87
95,Toronto Rush,22,"Sat, 6/22 6:00 PM EDT Montreal",Montreal Royal,23,/league/game/2019-06-22-TOR-MTL,2019,2019-06-22,6:00 PM EDT,Montreal,12,90
96,Tampa Bay Cannons,14,"Sun, 6/23 1:00 PM CDT Austin",Austin Sol,23,/league/game/2019-06-23-TB-AUS,2019,2019-06-23,1:00 PM CDT,Austin,12,96
97,Toronto Rush,22,"Sun, 6/23 2:00 PM EDT Ottawa",Ottawa Outlaws,17,/league/game/2019-06-23-TOR-OTT,2019,2019-06-23,2:00 PM EDT,Ottawa,12,97
98,Chicago Wildfire,0,"Fri, 6/28 7:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-06-28-CHI-MAD,2019,2019-06-28,7:00 PM CDT,Madison,13,98
99,Raleigh Flyers,0,"Sat, 6/29 7:30 PM EDT Tampa Bay",Tampa Bay Cannons,0,/league/game/2019-06-29-RAL-TB,2019,2019-06-29,7:30 PM EDT,Tampa Bay,13,105
100,Philadelphia Phoenix,0,"Sat, 6/29 4:00 PM EDT Toronto",Toronto Rush,0,/league/game/2019-06-29-PHI-TOR,2019,2019-06-29,4:00 PM EDT,Toronto,13,99
101,New York Empire,0,"Sat, 6/29 6:00 PM EDT Montreal",Montreal Royal,0,/league/game/2019-06-29-NY-MTL,2019,2019-06-29,6:00 PM EDT,Montreal,13,100
102,Indianapolis AlleyCats,0,"Sat, 6/29 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,0,/league/game/2019-06-29-IND-PIT,2019,2019-06-29,6:00 PM EDT,Pittsburgh,13,101
103,Detroit Mechanix,0,"Sat, 6/29 6:00 PM CDT Minnesota",Minnesota Wind Chill,0,/league/game/2019-06-29-DET-MIN,2019,2019-06-29,6:00 PM CDT,Minnesota,13,102
104,Seattle Cascades,0,"Sat, 6/29 6:30 PM PDT San Diego",San Diego Growlers,0,/league/game/2019-06-29-SEA-SD,2019,2019-06-29,6:30 PM PDT,San Diego,13,103
105,Atlanta Hustle,0,"Sat, 6/29 7:00 PM CDT Dallas",Dallas Roughnecks,0,/league/game/2019-06-29-ATL-DAL,2019,2019-06-29,7:00 PM CDT,Dallas,13,104
106,New York Empire,0,"Sun, 6/30 2:00 PM EDT Ottawa",Ottawa Outlaws,0,/league/game/2019-06-30-NY-OTT,2019,2019-06-30,2:00 PM EDT,Ottawa,13,109
107,Seattle Cascades,0,"Sun, 6/30 1:30 PM PDT LA",Los Angeles Aviators,0,/league/game/2019-06-30-SEA-LA,2019,2019-06-30,1:30 PM PDT,LA,13,108
108,Atlanta Hustle,0,"Sun, 6/30 1:00 PM CDT Austin",Austin Sol,0,/league/game/2019-06-30-ATL-AUS,2019,2019-06-30,1:00 PM CDT,Austin,13,107
109,Detroit Mechanix,0,"Sun, 6/30 1:00 PM CDT Chicago",Chicago Wildfire,0,/league/game/2019-06-30-DET-CHI,2019,2019-06-30,1:00 PM CDT,Chicago,13,106
110,Ottawa Outlaws,0,"Thu, 7/4 7:00 PM EDT Montreal",Montreal Royal,0,/league/game/2019-07-04-OTT-MTL,2019,2019-07-04,7:00 PM EDT,Montreal,14,110
111,Dallas Roughnecks,0,"Fri, 7/5 7:00 PM EDT Raleigh",Raleigh Flyers,0,/league/game/2019-07-05-DAL-RAL,2019,2019-07-05,7:00 PM EDT,Raleigh,14,111
112,Chicago Wildfire,0,"Sat, 7/6 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,0,/league/game/2019-07-06-CHI-IND,2019,2019-07-06,7:00 PM EDT,Indianapolis,14,118
113,Pittsburgh Thunderbirds,0,"Sat, 7/6 4:00 PM EDT Detroit",Detroit Mechanix,0,/league/game/2019-07-06-PIT-DET,2019,2019-07-06,4:00 PM EDT,Detroit,14,112
114,DC Breeze,0,"Sat, 7/6 4:00 PM EDT Toronto",Toronto Rush,0,/league/game/2019-07-06-DC-TOR,2019,2019-07-06,4:00 PM EDT,Toronto,14,113
115,Los Angeles Aviators,0,"Sat, 7/6 6:00 PM PDT Seattle",Seattle Cascades,0,/league/game/2019-07-06-LA-SEA,2019,2019-07-06,6:00 PM PDT,Seattle,14,114
116,Minnesota Wind Chill,0,"Sat, 7/6 6:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-07-06-MIN-MAD,2019,2019-07-06,6:00 PM CDT,Madison,14,115
117,New York Empire,0,"Sat, 7/6 6:00 PM EDT Philadelphia",Philadelphia Phoenix,0,/league/game/2019-07-06-NY-PHI,2019,2019-07-06,6:00 PM EDT,Philadelphia,14,116
118,San Diego Growlers,0,"Sat, 7/6 7:00 PM PDT San Jose",San Jose Spiders,0,/league/game/2019-07-06-SD-SJ,2019,2019-07-06,7:00 PM PDT,San Jose,14,117
119,Dallas Roughnecks,0,"Sat, 7/6 7:00 PM EDT Atlanta",Atlanta Hustle,0,/league/game/2019-07-06-DAL-ATL,2019,2019-07-06,7:00 PM EDT,Atlanta,14,119
120,Pittsburgh Thunderbirds,0,"Sat, 7/13 6:00 PM CDT Chicago",Chicago Wildfire,0,/league/game/2019-07-13-PIT-CHI,2019,2019-07-13,6:00 PM CDT,Chicago,15,121
121,Philadelphia Phoenix,0,"Sat, 7/13 6:00 PM EDT Ottawa",Ottawa Outlaws,0,/league/game/2019-07-13-PHI-OTT,2019,2019-07-13,6:00 PM EDT,Ottawa,15,120
122,Tampa Bay Cannons,0,"Sat, 7/13 7:00 PM EDT Raleigh",Raleigh Flyers,0,/league/game/2019-07-13-TB-RAL,2019,2019-07-13,7:00 PM EDT,Raleigh,15,122
123,Philadelphia Phoenix,0,"Sun, 7/14 3:00 PM EDT Montreal",Montreal Royal,0,/league/game/2019-07-14-PHI-MTL,2019,2019-07-14,3:00 PM EDT,Montreal,15,124
124,Detroit Mechanix,0,"Sun, 7/14 12:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-07-14-DET-MAD,2019,2019-07-14,12:00 PM CDT,Madison,15,123
125,Pittsburgh Thunderbirds,0,"Sun, 7/14 4:00 PM EDT Indianapolis",Indianapolis AlleyCats,0,/league/game/2019-07-14-PIT-IND,2019,2019-07-14,4:00 PM EDT,Indianapolis,15,125
