,Teamname,Name,FirstName,LastName
110,Dallas Roughnecks,Kaplan Maurer,Kaplan,Maurer
111,Dallas Roughnecks,Matt Jackson,Matt,Jackson
112,Dallas Roughnecks,Sam Ward,Sam,Ward
113,Dallas Roughnecks,Jay Froude,Jay,Froude
114,Dallas Roughnecks,Jake Reinhardt,Jake,Reinhardt
115,Dallas Roughnecks,Ben Lewis,Ben,Lewis
116,Dallas Roughnecks,Abe Coffin,Abe,Coffin
117,Dallas Roughnecks,Joel Clutton,Joel,Clutton
118,Dallas Roughnecks,Alex Brouwer,Alex,Brouwer
119,Dallas Roughnecks,Dillon Larberg,Dillon,Larberg
120,Dallas Roughnecks,Dalton Smith,Dalton,Smith
121,Dallas Roughnecks,Stephen Poulos,Stephen,Poulos
122,Dallas Roughnecks,Abe Gambert,Abe,Gambert
123,Dallas Roughnecks,Chris Larberg,Chris,Larberg
124,Dallas Roughnecks,Daniel Emmons,Daniel,Emmons
125,Dallas Roughnecks,Kevin Richardson,Kevin,Richardson
126,Dallas Roughnecks,Casey Hogg,Casey,Hogg
127,Dallas Roughnecks,Zach Riggins,Zach,Riggins
128,Dallas Roughnecks,Connor Olson,Connor,Olson
129,Dallas Roughnecks,Wesley Miaw,Wesley,Miaw
130,Dallas Roughnecks,Connor Ughetta,Connor,Ughetta
131,Dallas Roughnecks,Carson Wilder,Carson,Wilder
132,Dallas Roughnecks,Noah Chambers,Noah,Chambers
133,Dallas Roughnecks,Thomas Slack,Thomas,Slack
134,Dallas Roughnecks,Gabriel Hernandez,Gabriel,Hernandez
135,Dallas Roughnecks,Kai Marshall,Kai,Marshall
136,Dallas Roughnecks,Henry Furuta,Henry,Furuta
137,Dallas Roughnecks,Brian Street,Brian,Street
138,Dallas Roughnecks,Jonathan Costello,Jonathan,Costello
139,Dallas Roughnecks,Matthew Armour,Matthew,Armour
140,Dallas Roughnecks,Zach Marbach,Zach,Marbach
141,Dallas Roughnecks,Ben Rogers,Ben,Rogers
142,Dallas Roughnecks,David Hammer,David,Hammer
143,DC Breeze,Jacques Nissen,Jacques,Nissen
144,DC Breeze,Jarrod Banks,Jarrod,Banks
145,DC Breeze,Alexandre Fall,Alexandre,Fall
146,DC Breeze,Kris Harrison,Kris,Harrison
147,DC Breeze,Houston Parks,Houston,Parks
148,DC Breeze,AJ Merriman,AJ,Merriman
149,DC Breeze,Dane Warner,Dane,Warner
150,DC Breeze,Matt Cullom,Matt,Cullom
151,DC Breeze,John Walden,John,Walden
152,DC Breeze,Kenta Kawaguchi,Kenta,Kawaguchi
153,DC Breeze,Zach Norrbom,Zach,Norrbom
154,DC Breeze,Joe Richards,Joe,Richards
155,DC Breeze,Garrett Braun,Garrett,Braun
156,DC Breeze,Dennis Maclaine,Dennis,Maclaine
157,DC Breeze,Cole Sullivan,Cole,Sullivan
158,DC Breeze,Kyle Vezina,Kyle,Vezina
159,DC Breeze,Alex Liu,Alex,Liu
160,DC Breeze,Matt Neeley,Matt,Neeley
161,DC Breeze,Sam Brecker,Sam,Brecker
162,DC Breeze,Rowan McDonnell,Rowan,McDonnell
163,DC Breeze,Peter Mancini,Peter,Mancini
164,DC Breeze,Max Cassell,Max,Cassell
165,DC Breeze,Danny Krug,Danny,Krug
166,DC Breeze,Jeremy Knopf,Jeremy,Knopf
167,DC Breeze,Cody Johnston,Cody,Johnston
168,DC Breeze,David Bloodgood,David,Bloodgood
169,DC Breeze,Anthony McLean,Anthony,McLean
170,DC Breeze,Quinn Bergeron,Quinn,Bergeron
171,DC Breeze,Jeremy Hess,Jeremy,Hess
172,DC Breeze,David Shields,David,Shields
173,DC Breeze,Nathan Prior,Nathan,Prior
174,DC Breeze,Jeff Wodatch,Jeff,Wodatch
175,DC Breeze,Jay Boyle,Jay,Boyle
176,DC Breeze,Kevin Versteeg,Kevin,Versteeg
177,DC Breeze,Ray Mendoza,Ray,Mendoza
178,DC Breeze,Leo Pierson,Leo,Pierson
179,DC Breeze,Xavier Maxstadt,Xavier,Maxstadt
180,Detroit Mechanix,Joseph Cubitt,Joseph,Cubitt
181,Detroit Mechanix,Justin Perticone,Justin,Perticone
182,Detroit Mechanix,Jeffery Schubert,Jeffery,Schubert
183,Detroit Mechanix,Ashton Hoffman,Ashton,Hoffman
184,Detroit Mechanix,Jon Gibson,Jon,Gibson
185,Detroit Mechanix,Austin Riegel,Austin,Riegel
186,Detroit Mechanix,David Innis,David,Innis
187,Detroit Mechanix,Josh Beaulieu,Josh,Beaulieu
188,Detroit Mechanix,James Baker Jr,James,Baker Jr
189,Detroit Mechanix,Alex Bertoia,Alex,Bertoia
190,Detroit Mechanix,Wasdi Grimaldo,Wasdi,Grimaldo
191,Detroit Mechanix,Jonathan Lee,Jonathan,Lee
192,Detroit Mechanix,Neil Proefrock,Neil,Proefrock
193,Detroit Mechanix,Karl Fauerbach,Karl,Fauerbach
194,Detroit Mechanix,Mitchell DeNooyer,Mitchell,DeNooyer
195,Detroit Mechanix,Andrew Everts,Andrew,Everts
196,Detroit Mechanix,Daniel Viggiani,Daniel,Viggiani
197,Detroit Mechanix,Joe Rogers,Joe,Rogers
198,Detroit Mechanix,Kevin Anthony,Kevin,Anthony
