year,team,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2017,Indianapolis AlleyCats,329,284,3478,305,362,3116,3116,329,57,183,0,0,1,346,476,352,223,225,104,14,234,460,100,222,329,698,699,0.8959171937895342,0.08769407705577918,0.0945945945945946,0.10558408215661104,0.6502890173410405,0.29545454545454547,0.47067238912732473,0.4726890756302521,0.4663677130044843,0.5726495726495726,0.5173913043478261
2017,Jacksonville Cannons,366,331,4565,249,313,4257,4257,366,59,147,5,0,0,372,480,381,205,266,100,15,200,479,89,257,366,753,685,0.9325301204819277,0.05454545454545454,0.08017524644030669,0.08597603946441155,0.7150537634408602,0.26246719160104987,0.5343065693430656,0.5541666666666667,0.4878048780487805,0.5549999999999999,0.4634655532359081
2017,Los Angeles Aviators,391,373,5154,275,333,4827,4827,392,52,184,6,1,0,404,506,412,231,271,120,16,222,518,111,269,391,816,737,0.9365541327124564,0.05335661622041133,0.07586340706247574,0.08120986119743112,0.6707920792079208,0.2912621359223301,0.5305291723202171,0.5355731225296443,0.5194805194805194,0.5,0.48069498069498073
2017,Madison Radicals,355,336,4274,233,320,3966,3966,356,75,232,12,1,0,332,415,385,273,223,132,16,175,514,82,222,355,717,688,0.9279363593823117,0.05451567618156294,0.08306036499766027,0.0897629853756934,0.6716867469879518,0.34285714285714286,0.5159883720930233,0.5373493975903615,0.4835164835164835,0.5314285714285714,0.5680933852140078
2017,Minnesota Wind Chill,346,311,4118,343,427,3699,3699,348,76,240,8,2,4,326,465,372,318,213,133,15,230,546,85,208,346,698,783,0.898251578436134,0.08329286061194754,0.0840213695968917,0.09407948094079481,0.6533742331288344,0.3575268817204301,0.44189016602809705,0.45806451612903226,0.41823899371069184,0.6304347826086957,0.6190476190476191
2017,Montreal Royal,328,295,4120,349,424,3699,3699,328,72,220,3,0,2,353,506,351,253,227,101,15,268,492,104,223,328,704,759,0.8978155339805826,0.08470873786407768,0.07961165048543689,0.08867261422005948,0.6430594900849859,0.28774928774928776,0.4321475625823452,0.44861660079051385,0.39920948616600793,0.6119402985074627,0.5467479674796748
2017,Nashville NightWatch,273,214,3287,350,438,2850,2850,273,87,128,1,0,1,430,576,298,143,240,33,14,308,405,157,256,273,728,719,0.8670520231213873,0.10648007301490721,0.08305445695162762,0.09578947368421052,0.5581395348837209,0.11073825503355705,0.3796940194714882,0.4166666666666667,0.23076923076923078,0.4902597402597403,0.36790123456790125
2017,New York Empire,291,265,3439,295,340,3106,3106,291,38,197,7,0,0,313,414,314,223,193,98,14,207,426,98,191,291,627,637,0.9031695260250072,0.08578075021808665,0.08461762140157023,0.09368963296844816,0.6166134185303515,0.31210191082802546,0.45682888540031397,0.46618357487922707,0.43946188340807174,0.5265700483091788,0.551643192488263
2017,Ottawa Outlaws,298,270,3529,325,401,3141,3141,298,63,155,13,0,0,386,530,323,176,232,66,14,277,431,128,236,298,709,706,0.8900538396146217,0.09209407764239161,0.08444318503825446,0.09487424387137854,0.6010362694300518,0.2043343653250774,0.42209631728045327,0.4377358490566038,0.375,0.5379061371841155,0.4524361948955916
2017,Philadelphia Phoenix,301,254,3458,299,353,3109,3109,301,50,147,4,0,0,365,476,325,193,222,79,14,231,429,117,226,301,690,669,0.8990746096009254,0.08646616541353383,0.08704453441295547,0.09681569636539081,0.6082191780821918,0.24307692307692308,0.4499252615844544,0.46638655462184875,0.40932642487046633,0.49350649350649356,0.47319347319347316
