year,team,player,Assists,Hockey Assists,Throws,Throwaways,Turnovers,Completions,Catches,Goals,Drops,Blocks,Stalls,Callahans,Callahans Thrown,Plus/Minus,O Points Played,O Possessions Played,D Points Played,D Possessions Played,Holds,Breaks,Games Played,Opponent Possessions Played (O-Line),Opponent Possessions Played (D-Line),O Points Lost,D Points Lost,Points Won,Points Played,Possessions Played,Completion Rate,Throwaway Rate,Assist Rate,Goal Rate,Hold Rate,Break Rate,Scoring Efficiency,O-line Scoring Efficiency,D-line Scoring Efficiency,O-line Takeaway Efficiency,D-line Takeaway Efficiency
2014,Chicago Wildfire,Cullen Geppert,19.0,8.0,139.0,14.0,16.0,121.0,143.0,8.0,2.0,9.0,0.0,0.0,0.0,20.0,100.0,134.0,51.0,73.0,72.0,26.0,9.0,57.0,97.0,20.0,22.0,98.0,151.0,207.0,0.8705035971223022,0.10071942446043165,0.1366906474820144,0.055944055944055944,0.72,0.5098039215686274,0.47342995169082125,0.5373134328358209,0.3561643835616438,0.6491228070175439,0.7731958762886598
2014,Chicago Wildfire,Dan Williams,17.0,11.0,266.0,19.0,20.0,242.0,188.0,5.0,1.0,8.0,0.0,0.0,0.0,10.0,59.0,96.0,160.0,154.0,44.0,55.0,13.0,50.0,255.0,13.0,91.0,99.0,219.0,250.0,0.9097744360902256,0.07142857142857142,0.06390977443609022,0.026595744680851064,0.7457627118644068,0.34375,0.396,0.4583333333333333,0.35714285714285715,0.74,0.6431372549019607
2014,Chicago Wildfire,Dane Olsen,10.0,11.0,161.0,15.0,16.0,139.0,122.0,5.0,1.0,3.0,0.0,0.0,0.0,2.0,34.0,58.0,86.0,83.0,23.0,25.0,8.0,34.0,143.0,10.0,54.0,48.0,120.0,141.0,0.8633540372670807,0.09316770186335403,0.062111801242236024,0.040983606557377046,0.6764705882352942,0.29069767441860467,0.3404255319148936,0.39655172413793105,0.30120481927710846,0.7058823529411764,0.6223776223776224
2014,Chicago Wildfire,Gary LeDonne,6.0,5.0,51.0,3.0,5.0,48.0,56.0,10.0,2.0,4.0,0.0,0.0,0.0,15.0,28.0,40.0,93.0,72.0,21.0,28.0,11.0,18.0,136.0,5.0,62.0,49.0,121.0,112.0,0.9411764705882353,0.058823529411764705,0.11764705882352941,0.17857142857142858,0.75,0.3010752688172043,0.4375,0.525,0.3888888888888889,0.7222222222222222,0.5441176470588236
2014,Chicago Wildfire,Geoff Serednesky,4.0,10.0,57.0,2.0,6.0,53.0,67.0,11.0,4.0,3.0,0.0,0.0,0.0,12.0,68.0,99.0,22.0,23.0,47.0,11.0,6.0,47.0,34.0,16.0,9.0,58.0,90.0,122.0,0.9298245614035088,0.03508771929824561,0.07017543859649122,0.16417910447761194,0.6911764705882353,0.5,0.47540983606557374,0.47474747474747475,0.4782608695652174,0.6595744680851063,0.7352941176470589
2014,Chicago Wildfire,George Hughes-Strange,4.0,4.0,53.0,8.0,10.0,45.0,52.0,7.0,2.0,9.0,0.0,0.0,0.0,10.0,21.0,35.0,52.0,57.0,12.0,28.0,4.0,21.0,80.0,6.0,21.0,40.0,73.0,92.0,0.8490566037735849,0.1509433962264151,0.07547169811320754,0.1346153846153846,0.5714285714285714,0.5384615384615384,0.43478260869565216,0.34285714285714286,0.49122807017543857,0.7142857142857143,0.7375
2014,Chicago Wildfire,Goose Helton,46.0,23.0,335.0,31.0,43.0,297.0,352.0,44.0,12.0,14.0,0.0,0.0,0.0,61.0,233.0,322.0,110.0,90.0,163.0,37.0,15.0,149.0,160.0,57.0,53.0,200.0,343.0,412.0,0.8865671641791045,0.09253731343283582,0.1373134328358209,0.125,0.6995708154506438,0.33636363636363636,0.4854368932038835,0.5062111801242236,0.4111111111111111,0.6174496644295302,0.66875
2014,Chicago Wildfire,Gregory Slover,14.0,11.0,119.0,12.0,15.0,103.0,131.0,17.0,3.0,6.0,0.0,0.0,0.0,22.0,117.0,165.0,46.0,56.0,84.0,22.0,10.0,79.0,78.0,29.0,18.0,106.0,163.0,221.0,0.865546218487395,0.10084033613445378,0.11764705882352941,0.1297709923664122,0.717948717948718,0.4782608695652174,0.4796380090497738,0.509090909090909,0.39285714285714285,0.6329113924050633,0.7692307692307692
2014,Chicago Wildfire,James Roush,1.0,1.0,11.0,1.0,2.0,10.0,15.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,18.0,22.0,61.0,32.0,13.0,17.0,8.0,8.0,76.0,4.0,41.0,30.0,79.0,54.0,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.26666666666666666,0.7222222222222222,0.2786885245901639,0.5555555555555556,0.5909090909090909,0.53125,0.5,0.4605263157894737
2014,Chicago Wildfire,John Kolb,17.0,12.0,123.0,6.0,6.0,115.0,128.0,10.0,0.0,12.0,0.0,0.0,0.0,33.0,72.0,87.0,103.0,89.0,50.0,43.0,11.0,34.0,146.0,18.0,46.0,93.0,175.0,176.0,0.9349593495934959,0.04878048780487805,0.13821138211382114,0.078125,0.6944444444444444,0.4174757281553398,0.5284090909090909,0.5747126436781609,0.48314606741573035,0.47058823529411764,0.6849315068493151
2014,Chicago Wildfire,Kevin Kelly,23.0,16.0,162.0,20.0,26.0,138.0,177.0,23.0,6.0,14.0,0.0,0.0,0.0,34.0,96.0,131.0,145.0,117.0,63.0,54.0,13.0,64.0,204.0,27.0,73.0,117.0,241.0,248.0,0.8518518518518519,0.12345679012345678,0.1419753086419753,0.12994350282485875,0.65625,0.3724137931034483,0.4717741935483871,0.48091603053435117,0.46153846153846156,0.578125,0.642156862745098
2014,Chicago Wildfire,Michael Egan,1.0,4.0,27.0,5.0,8.0,21.0,30.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,4.0,8.0,124.0,84.0,3.0,34.0,11.0,5.0,173.0,1.0,81.0,37.0,128.0,92.0,0.7777777777777778,0.18518518518518517,0.037037037037037035,0.13333333333333333,0.75,0.27419354838709675,0.40217391304347827,0.375,0.40476190476190477,0.8,0.5317919075144508
2014,Chicago Wildfire,Neal Phelps,7.0,9.0,77.0,5.0,9.0,71.0,80.0,6.0,4.0,7.0,0.0,0.0,0.0,11.0,44.0,64.0,94.0,78.0,32.0,27.0,8.0,32.0,144.0,12.0,60.0,59.0,138.0,142.0,0.922077922077922,0.06493506493506493,0.09090909090909091,0.075,0.7272727272727273,0.2872340425531915,0.4154929577464789,0.5,0.34615384615384615,0.625,0.5833333333333333
2014,Chicago Wildfire,Rob Greenberg,2.0,3.0,31.0,7.0,8.0,23.0,18.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,63.0,50.0,1.0,25.0,7.0,2.0,87.0,0.0,35.0,26.0,64.0,53.0,0.7419354838709677,0.22580645161290322,0.06451612903225806,0.16666666666666666,1.0,0.3968253968253968,0.49056603773584906,0.3333333333333333,0.5,1.0,0.5977011494252873
2014,Chicago Wildfire,Rob S,3.0,0.0,13.0,1.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,8.0,0.0,4.0,1.0,0.0,15.0,0.0,7.0,4.0,11.0,8.0,0.8461538461538461,0.07692307692307693,0.23076923076923078,0.0,,0.36363636363636365,0.5,,0.5,,0.5333333333333333
2014,Chicago Wildfire,Ron Kubalanza,18.0,24.0,304.0,12.0,13.0,288.0,244.0,13.0,1.0,3.0,0.0,0.0,0.0,21.0,179.0,240.0,26.0,31.0,127.0,17.0,13.0,105.0,38.0,42.0,5.0,144.0,205.0,271.0,0.9473684210526315,0.039473684210526314,0.05921052631578947,0.05327868852459016,0.7094972067039106,0.6538461538461539,0.5313653136531366,0.5291666666666667,0.5483870967741935,0.6,0.868421052631579
2014,Chicago Wildfire,Stephane Mance,6.0,7.0,73.0,7.0,11.0,63.0,76.0,9.0,4.0,3.0,0.0,0.0,0.0,7.0,11.0,26.0,60.0,75.0,9.0,28.0,6.0,16.0,106.0,1.0,29.0,37.0,71.0,101.0,0.863013698630137,0.0958904109589041,0.0821917808219178,0.11842105263157894,0.8181818181818182,0.4666666666666667,0.36633663366336633,0.34615384615384615,0.37333333333333335,0.9375,0.7264150943396226
2014,Chicago Wildfire,Taylor Kraemer,4.0,1.0,54.0,3.0,5.0,51.0,58.0,6.0,2.0,3.0,0.0,0.0,0.0,8.0,49.0,76.0,15.0,21.0,33.0,11.0,5.0,40.0,24.0,13.0,3.0,44.0,64.0,97.0,0.9444444444444444,0.05555555555555555,0.07407407407407407,0.10344827586206896,0.673469387755102,0.7333333333333333,0.4536082474226804,0.4342105263157895,0.5238095238095238,0.675,0.875
2014,Chicago Wildfire,Tim Fergus,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,4.0,1.0,0.0,14.0,0.0,3.0,4.0,8.0,10.0,1.0,0.0,0.0,0.0,,0.5,0.4,,0.4,,0.7857142857142857
2014,Chicago Wildfire,Von Alanguilan,4.0,7.0,53.0,1.0,5.0,51.0,59.0,9.0,4.0,10.0,0.0,0.0,0.0,18.0,16.0,30.0,152.0,107.0,9.0,47.0,14.0,21.0,210.0,6.0,96.0,56.0,168.0,137.0,0.9622641509433962,0.018867924528301886,0.07547169811320754,0.15254237288135594,0.5625,0.3092105263157895,0.40875912408759124,0.3,0.4392523364485981,0.7142857142857143,0.5428571428571429
2014,Chicago Wildfire,Walden Nelson,6.0,11.0,140.0,1.0,1.0,139.0,131.0,17.0,0.0,8.0,0.0,0.0,0.0,30.0,94.0,129.0,89.0,105.0,62.0,40.0,11.0,64.0,152.0,27.0,42.0,102.0,183.0,234.0,0.9928571428571429,0.007142857142857143,0.04285714285714286,0.1297709923664122,0.6595744680851063,0.449438202247191,0.4358974358974359,0.4806201550387597,0.38095238095238093,0.578125,0.7236842105263157
2014,Chicago Wildfire,Xtehn Titcomb,7.0,6.0,85.0,13.0,13.0,70.0,76.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,16.0,21.0,95.0,83.0,13.0,32.0,7.0,8.0,146.0,3.0,60.0,45.0,111.0,104.0,0.8235294117647058,0.15294117647058825,0.08235294117647059,0.07894736842105263,0.8125,0.3368421052631579,0.4326923076923077,0.6190476190476191,0.3855421686746988,0.625,0.589041095890411
2014,Cincinnati Revolution,Aaron Bacon,2.0,3.0,35.0,7.0,8.0,26.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,-3.0,28.0,47.0,62.0,34.0,9.0,13.0,6.0,36.0,83.0,14.0,47.0,22.0,90.0,81.0,0.7428571428571429,0.2,0.05714285714285714,0.0,0.32142857142857145,0.20967741935483872,0.2716049382716049,0.19148936170212766,0.38235294117647056,0.6111111111111112,0.4337349397590361
2014,Cincinnati Revolution,Aaron Corley,0.0,0.0,21.0,2.0,4.0,19.0,23.0,5.0,2.0,2.0,0.0,0.0,0.0,3.0,15.0,29.0,83.0,47.0,4.0,19.0,7.0,23.0,109.0,8.0,58.0,23.0,98.0,76.0,0.9047619047619048,0.09523809523809523,0.0,0.21739130434782608,0.26666666666666666,0.2289156626506024,0.3026315789473684,0.13793103448275862,0.40425531914893614,0.6521739130434783,0.4678899082568807
2014,Cincinnati Revolution,Alan Huels,2.0,2.0,33.0,3.0,4.0,30.0,35.0,6.0,1.0,11.0,0.0,0.0,0.0,15.0,44.0,64.0,163.0,73.0,10.0,29.0,10.0,40.0,203.0,17.0,122.0,39.0,207.0,137.0,0.9090909090909091,0.09090909090909091,0.06060606060606061,0.17142857142857143,0.22727272727272727,0.17791411042944785,0.2846715328467153,0.15625,0.3972602739726027,0.575,0.3990147783251231
2014,Cincinnati Revolution,Anonymous,2.0,4.0,72.0,26.0,48.0,25.0,17.0,4.0,22.0,4.0,0.0,0.0,0.0,-38.0,,,,,,,,,,,,,,,0.3472222222222222,0.3611111111111111,0.027777777777777776,0.23529411764705882,,,,,,,
2014,Cincinnati Revolution,Ben Blatz,5.0,3.0,42.0,6.0,6.0,36.0,46.0,9.0,0.0,4.0,0.0,0.0,0.0,12.0,28.0,45.0,117.0,69.0,6.0,26.0,10.0,34.0,159.0,15.0,84.0,32.0,145.0,114.0,0.8571428571428571,0.14285714285714285,0.11904761904761904,0.1956521739130435,0.21428571428571427,0.2222222222222222,0.2807017543859649,0.13333333333333333,0.37681159420289856,0.5588235294117647,0.4716981132075472
2014,Cincinnati Revolution,Ben Jansen,1.0,0.0,18.0,3.0,4.0,15.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,11.0,27.0,81.0,38.0,4.0,12.0,8.0,23.0,105.0,5.0,66.0,16.0,92.0,65.0,0.8333333333333334,0.16666666666666666,0.05555555555555555,0.0,0.36363636363636365,0.14814814814814814,0.24615384615384617,0.14814814814814814,0.3157894736842105,0.782608695652174,0.37142857142857144
2014,Cincinnati Revolution,Ben Sever,26.0,21.0,307.0,35.0,36.0,268.0,272.0,17.0,1.0,5.0,0.0,0.0,0.0,12.0,205.0,279.0,23.0,28.0,120.0,6.0,11.0,145.0,41.0,71.0,11.0,126.0,228.0,307.0,0.8729641693811075,0.11400651465798045,0.08469055374592833,0.0625,0.5853658536585366,0.2608695652173913,0.41042345276872966,0.43010752688172044,0.21428571428571427,0.5103448275862069,0.7317073170731707
2014,Cincinnati Revolution,Chris Powers,19.0,12.0,244.0,22.0,24.0,216.0,205.0,12.0,2.0,2.0,0.0,0.0,0.0,9.0,188.0,267.0,7.0,13.0,108.0,2.0,11.0,149.0,16.0,69.0,3.0,110.0,195.0,280.0,0.8852459016393442,0.09016393442622951,0.0778688524590164,0.05853658536585366,0.574468085106383,0.2857142857142857,0.39285714285714285,0.4044943820224719,0.15384615384615385,0.5369127516778524,0.8125
2014,Cincinnati Revolution,Connor Haley,1.0,1.0,6.0,0.0,1.0,6.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,21.0,9.0,0.0,5.0,1.0,2.0,25.0,0.0,15.0,5.0,23.0,13.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.23809523809523808,0.38461538461538464,0.0,0.5555555555555556,1.0,0.4
2014,Cincinnati Revolution,Danny Shonk,0.0,2.0,33.0,3.0,3.0,30.0,30.0,3.0,0.0,5.0,0.0,0.0,0.0,5.0,15.0,29.0,69.0,42.0,4.0,13.0,7.0,25.0,96.0,10.0,51.0,17.0,84.0,71.0,0.9090909090909091,0.09090909090909091,0.0,0.1,0.26666666666666666,0.18840579710144928,0.23943661971830985,0.13793103448275862,0.30952380952380953,0.6,0.46875
2014,Cincinnati Revolution,Eddie Mack,7.0,13.0,178.0,6.0,10.0,169.0,167.0,14.0,4.0,6.0,0.0,0.0,0.0,17.0,169.0,231.0,32.0,27.0,105.0,6.0,12.0,119.0,51.0,57.0,21.0,111.0,201.0,258.0,0.949438202247191,0.033707865168539325,0.03932584269662921,0.08383233532934131,0.621301775147929,0.1875,0.43023255813953487,0.45454545454545453,0.2222222222222222,0.5210084033613445,0.5882352941176471
2014,Cincinnati Revolution,Eric Converse,4.0,4.0,94.0,9.0,10.0,83.0,65.0,2.0,1.0,3.0,0.0,0.0,0.0,-1.0,90.0,117.0,18.0,17.0,56.0,8.0,6.0,55.0,27.0,28.0,10.0,64.0,108.0,134.0,0.8829787234042553,0.09574468085106383,0.0425531914893617,0.03076923076923077,0.6222222222222222,0.4444444444444444,0.47761194029850745,0.47863247863247865,0.47058823529411764,0.49090909090909096,0.6296296296296297
2014,Cincinnati Revolution,Isaac Jeffries,3.0,2.0,33.0,7.0,8.0,26.0,23.0,2.0,1.0,7.0,0.0,0.0,0.0,4.0,41.0,60.0,52.0,22.0,14.0,10.0,5.0,37.0,64.0,18.0,41.0,24.0,93.0,82.0,0.7878787878787878,0.21212121212121213,0.09090909090909091,0.08695652173913043,0.34146341463414637,0.19230769230769232,0.2926829268292683,0.23333333333333334,0.45454545454545453,0.5135135135135135,0.359375
2014,Cincinnati Revolution,Jeff Kula,18.0,30.0,426.0,18.0,21.0,403.0,334.0,11.0,3.0,9.0,0.0,0.0,0.0,17.0,281.0,378.0,19.0,29.0,171.0,8.0,14.0,198.0,38.0,100.0,9.0,179.0,300.0,407.0,0.9460093896713615,0.04225352112676056,0.04225352112676056,0.03293413173652695,0.608540925266904,0.42105263157894735,0.4398034398034398,0.4523809523809524,0.27586206896551724,0.4949494949494949,0.7631578947368421
2014,Cincinnati Revolution,Joe Mozloom,7.0,8.0,65.0,5.0,7.0,60.0,64.0,6.0,2.0,7.0,0.0,0.0,0.0,13.0,43.0,67.0,156.0,87.0,13.0,34.0,10.0,51.0,205.0,25.0,110.0,47.0,199.0,154.0,0.9230769230769231,0.07692307692307693,0.1076923076923077,0.09375,0.3023255813953488,0.21794871794871795,0.3051948051948052,0.19402985074626866,0.39080459770114945,0.5098039215686274,0.46341463414634143
2014,Cincinnati Revolution,John Siemer,2.0,5.0,62.0,6.0,8.0,56.0,60.0,5.0,2.0,5.0,0.0,0.0,0.0,4.0,31.0,45.0,95.0,68.0,9.0,27.0,8.0,31.0,135.0,16.0,60.0,36.0,126.0,113.0,0.9032258064516129,0.0967741935483871,0.03225806451612903,0.08333333333333333,0.2903225806451613,0.28421052631578947,0.3185840707964602,0.2,0.39705882352941174,0.4838709677419355,0.5555555555555556
2014,Cincinnati Revolution,Jordan Rhyne,1.0,1.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,25.0,13.0,3.0,2.0,3.0,15.0,36.0,8.0,21.0,5.0,38.0,33.0,0.8,0.2,0.2,0.0,0.23076923076923078,0.08,0.15151515151515152,0.15,0.15384615384615385,0.4666666666666667,0.41666666666666663
2014,Cincinnati Revolution,Kane Olson,9.0,10.0,130.0,18.0,21.0,107.0,126.0,12.0,3.0,6.0,0.0,0.0,0.0,6.0,168.0,239.0,28.0,26.0,105.0,5.0,11.0,124.0,46.0,51.0,16.0,110.0,196.0,265.0,0.823076923076923,0.13846153846153847,0.06923076923076923,0.09523809523809523,0.625,0.17857142857142858,0.41509433962264153,0.4393305439330544,0.19230769230769232,0.5887096774193548,0.6521739130434783
