,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
1126,Raleigh Flyers,0,"Sat, 6/29 7:30 PM EDT Tampa Bay",Tampa Bay Cannons,0,/league/game/2019-06-29-RAL-TB,2019,2019-06-29,7:30 PM EDT,Tampa Bay,13,1126
1127,New York Empire,0,"Sun, 6/30 2:00 PM EDT Ottawa",Ottawa Outlaws,0,/league/game/2019-06-30-NY-OTT,2019,2019-06-30,2:00 PM EDT,Ottawa,13,1130
1128,Seattle Cascades,0,"Sun, 6/30 1:30 PM PDT LA",Los Angeles Aviators,0,/league/game/2019-06-30-SEA-LA,2019,2019-06-30,1:30 PM PDT,LA,13,1129
1129,Detroit Mechanix,0,"Sun, 6/30 1:00 PM CDT Chicago",Chicago Wildfire,0,/league/game/2019-06-30-DET-CHI,2019,2019-06-30,1:00 PM CDT,Chicago,13,1127
1130,Atlanta Hustle,0,"Sun, 6/30 1:00 PM CDT Austin",Austin Sol,0,/league/game/2019-06-30-ATL-AUS,2019,2019-06-30,1:00 PM CDT,Austin,13,1128
1131,Ottawa Outlaws,0,"Thu, 7/4 7:00 PM EDT Montreal",Montreal Royal,0,/league/game/2019-07-04-OTT-MTL,2019,2019-07-04,7:00 PM EDT,Montreal,14,1131
1132,Dallas Roughnecks,0,"Fri, 7/5 7:00 PM EDT Raleigh",Raleigh Flyers,0,/league/game/2019-07-05-DAL-RAL,2019,2019-07-05,7:00 PM EDT,Raleigh,14,1132
1133,Dallas Roughnecks,0,"Sat, 7/6 7:00 PM EDT Atlanta",Atlanta Hustle,0,/league/game/2019-07-06-DAL-ATL,2019,2019-07-06,7:00 PM EDT,Atlanta,14,1140
1134,Chicago Wildfire,0,"Sat, 7/6 7:00 PM EDT Indianapolis",Indianapolis AlleyCats,0,/league/game/2019-07-06-CHI-IND,2019,2019-07-06,7:00 PM EDT,Indianapolis,14,1139
1135,San Diego Growlers,0,"Sat, 7/6 7:00 PM PDT San Jose",San Jose Spiders,0,/league/game/2019-07-06-SD-SJ,2019,2019-07-06,7:00 PM PDT,San Jose,14,1138
1136,New York Empire,0,"Sat, 7/6 6:00 PM EDT Philadelphia",Philadelphia Phoenix,0,/league/game/2019-07-06-NY-PHI,2019,2019-07-06,6:00 PM EDT,Philadelphia,14,1137
1137,Los Angeles Aviators,0,"Sat, 7/6 6:00 PM PDT Seattle",Seattle Cascades,0,/league/game/2019-07-06-LA-SEA,2019,2019-07-06,6:00 PM PDT,Seattle,14,1135
1138,DC Breeze,0,"Sat, 7/6 4:00 PM EDT Toronto",Toronto Rush,0,/league/game/2019-07-06-DC-TOR,2019,2019-07-06,4:00 PM EDT,Toronto,14,1134
1139,Pittsburgh Thunderbirds,0,"Sat, 7/6 4:00 PM EDT Detroit",Detroit Mechanix,0,/league/game/2019-07-06-PIT-DET,2019,2019-07-06,4:00 PM EDT,Detroit,14,1133
1140,Minnesota Wind Chill,0,"Sat, 7/6 6:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-07-06-MIN-MAD,2019,2019-07-06,6:00 PM CDT,Madison,14,1136
1141,Philadelphia Phoenix,0,"Sat, 7/13 6:00 PM EDT Ottawa",Ottawa Outlaws,0,/league/game/2019-07-13-PHI-OTT,2019,2019-07-13,6:00 PM EDT,Ottawa,15,1141
1142,Pittsburgh Thunderbirds,0,"Sat, 7/13 6:00 PM CDT Chicago",Chicago Wildfire,0,/league/game/2019-07-13-PIT-CHI,2019,2019-07-13,6:00 PM CDT,Chicago,15,1142
1143,Tampa Bay Cannons,0,"Sat, 7/13 7:00 PM EDT Raleigh",Raleigh Flyers,0,/league/game/2019-07-13-TB-RAL,2019,2019-07-13,7:00 PM EDT,Raleigh,15,1143
1144,Philadelphia Phoenix,0,"Sun, 7/14 3:00 PM EDT Montreal",Montreal Royal,0,/league/game/2019-07-14-PHI-MTL,2019,2019-07-14,3:00 PM EDT,Montreal,15,1145
1145,Detroit Mechanix,0,"Sun, 7/14 12:00 PM CDT Madison",Madison Radicals,0,/league/game/2019-07-14-DET-MAD,2019,2019-07-14,12:00 PM CDT,Madison,15,1144
1146,Pittsburgh Thunderbirds,0,"Sun, 7/14 4:00 PM EDT Indianapolis",Indianapolis AlleyCats,0,/league/game/2019-07-14-PIT-IND,2019,2019-07-14,4:00 PM EDT,Indianapolis,15,1146
