,Year,Matchup Link,Date Location,Home Team,Away Team,Home Team Score,Away Team Score,Date,Time,City,Week,UniversalGameID
936,2018,/league/game/2018-06-02-SF-SD,"Sat, 6/2 6:30 PM PDT San Diego",San Diego Growlers,San Francisco FlameThrowers,24,25,2018-06-02,6:30 PM PDT,San Diego,10,938
937,2018,/league/game/2018-06-02-CHI-DET,"Sat, 6/2 TBD Detroit",Detroit Mechanix,Chicago Wildfire,18,25,2018-06-02,TBD Detroit,,10,933
938,2018,/league/game/2018-06-02-SJ-SEA,"Sat, 6/2 6:00 PM PDT Seattle",Seattle Cascades,San Jose Spiders,25,29,2018-06-02,6:00 PM PDT,Seattle,10,936
939,2018,/league/game/2018-06-02-IND-MIN,"Sat, 6/2 5:00 PM CDT Minnesota",Minnesota Wind Chill,Indianapolis AlleyCats,22,18,2018-06-02,5:00 PM CDT,Minnesota,10,934
940,2018,/league/game/2018-06-02-DC-PIT,"Sat, 6/2 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,DC Breeze,11,20,2018-06-02,6:00 PM EDT,Pittsburgh,10,937
941,2018,/league/game/2018-06-02-TOR-MTL,"Sat, 6/2 5:00 PM EDT Montreal",Montreal Royal,Toronto Rush,20,24,2018-06-02,5:00 PM EDT,Montreal,10,935
942,2018,/league/game/2018-06-03-OTT-PHI,"Sun, 6/3 1:00 PM EDT Philadelphia",Philadelphia Phoenix,Ottawa Outlaws,22,21,2018-06-03,1:00 PM EDT,Philadelphia,10,942
943,2018,/league/game/2018-06-03-DAL-ATL,"Sun, 6/3 1:00 PM EDT Atlanta",Atlanta Hustle,Dallas Roughnecks,28,29,2018-06-03,1:00 PM EDT,Atlanta,10,943
944,2018,/league/game/2018-06-03-SF-LA,"Sun, 6/3 1:30 PM PDT LA",Los Angeles Aviators,San Francisco FlameThrowers,23,19,2018-06-03,1:30 PM PDT,LA,10,944
945,2018,/league/game/2018-06-08-MIN-MAD,"Fri, 6/8 7:00 PM CDT Madison",Madison Radicals,Minnesota Wind Chill,20,17,2018-06-08,7:00 PM CDT,Madison,11,945
946,2018,/league/game/2018-06-08-MTL-OTT,"Fri, 6/8 7:30 PM EDT Ottawa",Ottawa Outlaws,Montreal Royal,26,27,2018-06-08,7:30 PM EDT,Ottawa,11,946
947,2018,/league/game/2018-06-09-TOR-DC,"Sat, 6/9 6:30 PM EDT DC",DC Breeze,Toronto Rush,25,24,2018-06-09,6:30 PM EDT,DC,11,947
948,2018,/league/game/2018-06-09-PIT-PHI,"Sat, 6/9 6:30 PM EDT Philadelphia",Philadelphia Phoenix,Pittsburgh Thunderbirds,30,21,2018-06-09,6:30 PM EDT,Philadelphia,11,948
949,2018,/league/game/2018-06-09-ATL-NSH,"Sat, 6/9 7:00 PM CDT Nashville",Nashville Nightwatch,Atlanta Hustle,21,24,2018-06-09,7:00 PM CDT,Nashville,11,949
950,2018,/league/game/2018-06-09-MAD-CHI,"Sat, 6/9 7:00 PM CDT Chicago",Chicago Wildfire,Madison Radicals,21,22,2018-06-09,7:00 PM CDT,Chicago,11,950
951,2018,/league/game/2018-06-09-SD-SJ,"Sat, 6/9 7:00 PM PDT San Jose",San Jose Spiders,San Diego Growlers,21,20,2018-06-09,7:00 PM PDT,San Jose,11,951
952,2018,/league/game/2018-06-09-DAL-AUS,"Sat, 6/9 7:00 PM CDT Austin",Austin Sol,Dallas Roughnecks,17,19,2018-06-09,7:00 PM CDT,Austin,11,952
953,2018,/league/game/2018-06-16-DET-MIN,"Sat, 6/16 6:00 PM CDT Minnesota",Minnesota Wind Chill,Detroit Mechanix,37,18,2018-06-16,6:00 PM CDT,Minnesota,12,954
954,2018,/league/game/2018-06-16-NSH-RAL,"Sat, 6/16 7:00 PM EDT Raleigh",Raleigh Flyers,Nashville Nightwatch,27,15,2018-06-16,7:00 PM EDT,Raleigh,12,960
955,2018,/league/game/2018-06-16-OTT-TOR,"Sat, 6/16 6:30 PM EDT Toronto",Toronto Rush,Ottawa Outlaws,27,17,2018-06-16,6:30 PM EDT,Toronto,12,959
956,2018,/league/game/2018-06-16-SJ-SF,"Sat, 6/16 6:30 PM PDT San Francisco",San Francisco FlameThrowers,San Jose Spiders,21,17,2018-06-16,6:30 PM PDT,San Francisco,12,958
957,2018,/league/game/2018-06-16-NY-MTL,"Sat, 6/16 6:00 PM EDT Montreal",Montreal Royal,New York Empire,26,22,2018-06-16,6:00 PM EDT,Montreal,12,953
958,2018,/league/game/2018-06-16-SEA-LA,"Sat, 6/16 6:00 PM PDT LA",Los Angeles Aviators,Seattle Cascades,26,17,2018-06-16,6:00 PM PDT,LA,12,956
959,2018,/league/game/2018-06-16-MAD-PIT,"Sat, 6/16 6:00 PM EDT Pittsburgh",Pittsburgh Thunderbirds,Madison Radicals,21,25,2018-06-16,6:00 PM EDT,Pittsburgh,12,955
960,2018,/league/game/2018-06-16-DAL-ATL,"Sat, 6/16 6:30 PM EDT Atlanta",Atlanta Hustle,Dallas Roughnecks,20,24,2018-06-16,6:30 PM EDT,Atlanta,12,957
961,2018,/league/game/2018-06-17-DAL-TB,"Sun, 6/17 1:00 PM EDT Tampa Bay",Tampa Bay Cannons,Dallas Roughnecks,25,28,2018-06-17,1:00 PM EDT,Tampa Bay,12,961
